NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS27	438	3.8919456005096436	-0.013749371	No	
row_1	CLIP1	449	3.8674981594085693	0.0017522024	No	
row_2	PPP2R5A	617	3.528843402862549	0.0050689	No	
row_3	PPP2R5B	1024	2.9047722816467285	-0.0106176445	No	
row_4	MIS12	1684	2.22322416305542	-0.046508152	No	
row_5	NDEL1	2486	1.6219176054000854	-0.09465413	No	
row_6	PPP2CB	2601	1.5560847520828247	-0.09595954	No	
row_7	CENPT	4511	0.6364036202430725	-0.22421968	No	
row_8	DYNC1LI2	4576	0.6165409088134766	-0.22602843	No	
row_9	DYNLL2	5199	0.4039532542228699	-0.26699594	No	
row_10	PPP2R5C	5887	0.22572794556617737	-0.31316727	No	
row_11	DYNC1H1	6290	0.14277496933937073	-0.3401398	No	
row_12	PMF1	6400	0.1174028292298317	-0.34712392	No	
row_13	B9D2	6610	0.07134231179952621	-0.36115903	No	
row_14	SEC13	6743	0.04567389562726021	-0.37002075	No	
row_15	CLASP1	7110	-0.01384170725941658	-0.39506397	No	
row_16	DYNC1I2	7818	-0.1385660320520401	-0.44297177	No	
row_17	PPP2R5D	8503	-0.2889098823070526	-0.48867288	No	
row_18	CENPS	8658	-0.32636046409606934	-0.4978686	No	
row_19	RCC2	8817	-0.3742540180683136	-0.5071382	No	
row_20	NUP160	9219	-0.48338833451271057	-0.5326165	No	
row_21	DYNC1LI1	9225	-0.485640287399292	-0.53092676	No	
row_22	ZW10	9608	-0.5987933278083801	-0.554619	No	
row_23	NUP133	9742	-0.638091504573822	-0.5610697	No	
row_24	CENPC	9776	-0.6510955691337585	-0.5606078	No	
row_25	NSL1	10056	-0.7522563338279724	-0.5765937	No	
row_26	CENPQ	10505	-0.9283280968666077	-0.60343313	No	
row_27	KIF2A	10683	-0.9999837875366211	-0.6113868	No	
row_28	PAFAH1B1	10972	-1.1262176036834717	-0.62642473	No	
row_29	PPP2CA	10979	-1.1322259902954102	-0.6220973	No	
row_30	NUP37	11160	-1.2127366065979004	-0.6293662	No	
row_31	PPP2R5E	11506	-1.3869878053665161	-0.6472219	No	
row_32	NUP43	11566	-1.4238897562026978	-0.6453086	No	
row_33	NUDC	11746	-1.5028775930404663	-0.6512946	No	
row_34	CENPH	12009	-1.6705902814865112	-0.6622709	No	
row_35	DSN1	12018	-1.6740033626556396	-0.65581304	No	
row_36	CKAP5	12102	-1.7267714738845825	-0.654278	No	
row_37	MAD1L1	12452	-1.9690155982971191	-0.66997194	No	
row_38	ITGB3BP	12608	-2.07639217376709	-0.6719115	No	
row_39	NDE1	12749	-2.1927342414855957	-0.6723353	Yes	
row_40	PPP2R1B	12868	-2.2785732746124268	-0.6708911	Yes	
row_41	CENPP	12908	-2.303586959838867	-0.66392416	Yes	
row_42	PPP2R1A	12937	-2.339176654815674	-0.65605384	Yes	
row_43	RANBP2	12976	-2.3679447174072266	-0.64874893	Yes	
row_44	NUP85	13128	-2.4879255294799805	-0.6486917	Yes	
row_45	MAPRE1	13213	-2.5614302158355713	-0.6437318	Yes	
row_46	TAOK1	13393	-2.7209362983703613	-0.6446195	Yes	
row_47	BUB3	13396	-2.7269675731658936	-0.633343	Yes	
row_48	PPP1CC	13401	-2.736337184906006	-0.6221644	Yes	
row_49	CENPL	13565	-2.9106953144073486	-0.6211606	Yes	
row_50	CLASP2	13578	-2.9258313179016113	-0.6097376	Yes	
row_51	SPC25	13663	-3.0490739345550537	-0.6027366	Yes	
row_52	NUP107	13701	-3.108997344970703	-0.59226143	Yes	
row_53	CENPU	13799	-3.257465124130249	-0.5852798	Yes	
row_54	CENPM	13824	-3.2954530715942383	-0.5731327	Yes	
row_55	SGO1	13874	-3.3820817470550537	-0.5623376	Yes	
row_56	XPO1	13930	-3.492774486541748	-0.5514906	Yes	
row_57	AHCTF1	14001	-3.6170849800109863	-0.54115206	Yes	
row_58	CENPO	14019	-3.655106782913208	-0.52701956	Yes	
row_59	DYNLL1	14021	-3.659337282180786	-0.511772	Yes	
row_60	NUF2	14032	-3.6863019466400146	-0.4970288	Yes	
row_61	CENPF	14040	-3.6996984481811523	-0.4820238	Yes	
row_62	KNTC1	14053	-3.717740535736084	-0.46728623	Yes	
row_63	RANGAP1	14055	-3.7211098670959473	-0.4517801	Yes	
row_64	SPC24	14082	-3.772278308868408	-0.4377744	Yes	
row_65	CENPA	14111	-3.818904161453247	-0.4237107	Yes	
row_66	AURKB	14117	-3.8404736518859863	-0.4079793	Yes	
row_67	INCENP	14142	-3.902808666229248	-0.3932901	Yes	
row_68	SKA1	14195	-4.037662506103516	-0.37995678	Yes	
row_69	CENPK	14210	-4.059407711029053	-0.3639263	Yes	
row_70	SGO2	14222	-4.097604751586914	-0.3475302	Yes	
row_71	BUB1	14227	-4.114140510559082	-0.3305848	Yes	
row_72	KIF2C	14230	-4.118091583251953	-0.3134857	Yes	
row_73	ZWINT	14242	-4.147773265838623	-0.29687962	Yes	
row_74	BUB1B	14259	-4.18538761138916	-0.28045902	Yes	
row_75	KNL1	14262	-4.192275524139404	-0.26304945	Yes	
row_76	SPDL1	14274	-4.2303032875061035	-0.24609792	Yes	
row_77	CENPI	14280	-4.256800174713135	-0.22862402	Yes	
row_78	ERCC6L	14294	-4.30037784576416	-0.21151638	Yes	
row_79	CENPN	14305	-4.335566520690918	-0.1940557	Yes	
row_80	MAD2L1	14319	-4.364737510681152	-0.17667869	Yes	
row_81	SKA2	14357	-4.470288276672363	-0.16050586	Yes	
row_82	CDCA8	14398	-4.60060977935791	-0.14399333	Yes	
row_83	KIF18A	14460	-4.878007888793945	-0.12775998	Yes	
row_84	BIRC5	14475	-4.920009613037109	-0.108127445	Yes	
row_85	NDC80	14480	-4.943078517913818	-0.08771254	Yes	
row_86	ZWILCH	14516	-5.159346103668213	-0.068518505	Yes	
row_87	CDC20	14561	-5.399912357330322	-0.048934817	Yes	
row_88	PLK1	14635	-6.4731526374816895	-0.02684798	Yes	
row_89	CENPE	14655	-6.971699237823486	0.0010289708	Yes	
