NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H3-3B	1892	2.032130241394043	-0.11237714	No	
row_1	AURKC	3713	0.9667951464653015	-0.22870395	No	
row_2	PSMA3	3876	0.8843878507614136	-0.23241134	No	
row_3	KLHL9	7190	-0.024761363863945007	-0.45861125	No	
row_4	RHOA	7291	-0.041897453367710114	-0.46509627	No	
row_5	TACC1	7928	-0.16088536381721497	-0.50722015	No	
row_6	NPM1	8481	-0.2845969796180725	-0.5425735	No	
row_7	PPP2R5D	8503	-0.2889098823070526	-0.54160315	No	
row_8	NCL	12019	-1.6744080781936646	-0.7678724	No	
row_9	NSUN2	12392	-1.925156831741333	-0.77726537	Yes	
row_10	PEBP1	12510	-2.0093605518341064	-0.76853096	Yes	
row_11	KLHL13	12537	-2.025435447692871	-0.75344384	Yes	
row_12	MYLK	12547	-2.0332722663879395	-0.7371297	Yes	
row_13	CUL3	13144	-2.5047643184661865	-0.75700474	Yes	
row_14	CBX5	13160	-2.5201756954193115	-0.7370466	Yes	
row_15	PPP1CC	13401	-2.736337184906006	-0.73066497	Yes	
row_16	NCAPD2	13424	-2.757023572921753	-0.70921326	Yes	
row_17	SGO1	13874	-3.3820817470550537	-0.7117379	Yes	
row_18	CENPA	14111	-3.818904161453247	-0.6960693	Yes	
row_19	AURKB	14117	-3.8404736518859863	-0.66443497	Yes	
row_20	EVI5	14129	-3.8643171787261963	-0.63301206	Yes	
row_21	INCENP	14142	-3.902808666229248	-0.6013371	Yes	
row_22	RASA1	14161	-3.9428560733795166	-0.5697387	Yes	
row_23	BUB1	14227	-4.114140510559082	-0.53992605	Yes	
row_24	KIF2C	14230	-4.118091583251953	-0.5057752	Yes	
row_25	STMN1	14267	-4.216913223266602	-0.47312507	Yes	
row_26	KIF20A	14295	-4.308966159820557	-0.43909344	Yes	
row_27	NCAPH	14365	-4.504103183746338	-0.4063073	Yes	
row_28	CDCA8	14398	-4.60060977935791	-0.37018916	Yes	
row_29	AURKA	14405	-4.62760591506958	-0.3320694	Yes	
row_30	BIRC5	14475	-4.920009613037109	-0.29582042	Yes	
row_31	NDC80	14480	-4.943078517913818	-0.25493732	Yes	
row_32	SMC2	14488	-4.976254463195801	-0.21398304	Yes	
row_33	RACGAP1	14491	-4.982564926147461	-0.17263453	Yes	
row_34	NCAPG	14493	-4.987353801727295	-0.1311778	Yes	
row_35	SMC4	14562	-5.4042582511901855	-0.09082858	Yes	
row_36	KIF23	14587	-5.661562442779541	-0.04533013	Yes	
row_37	VIM	14619	-6.117367267608643	0.0034850151	Yes	
