NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS27	438	3.8919456005096436	-0.014100442	No	
row_1	CLIP1	449	3.8674981594085693	0.0010602679	No	
row_2	PPP2R5A	617	3.528843402862549	0.0040629795	No	
row_3	PPP2R5B	1024	2.9047722816467285	-0.011887075	No	
row_4	MIS12	1684	2.22322416305542	-0.047985822	No	
row_5	NDEL1	2486	1.6219176054000854	-0.09628974	No	
row_6	PPP2CB	2601	1.5560847520828247	-0.09773436	No	
row_7	CENPT	4511	0.6364036202430725	-0.22608648	No	
row_8	DYNC1LI2	4576	0.6165409088134766	-0.22795074	No	
row_9	DYNLL2	5199	0.4039532542228699	-0.26896554	No	
row_10	PPP2R5C	5887	0.22572794556617737	-0.3151697	No	
row_11	DYNC1H1	6290	0.14277496933937073	-0.34216237	No	
row_12	PMF1	6400	0.1174028292298317	-0.34915885	No	
row_13	NEK9	6415	0.1152837723493576	-0.3496469	No	
row_14	B9D2	6610	0.07134231179952621	-0.3626632	No	
row_15	SEC13	6743	0.04567389562726021	-0.37153143	No	
row_16	CLASP1	7110	-0.01384170725941658	-0.39658278	No	
row_17	DYNC1I2	7818	-0.1385660320520401	-0.44451606	No	
row_18	PPP2R5D	8503	-0.2889098823070526	-0.49025553	No	
row_19	CENPS	8658	-0.32636046409606934	-0.49948287	No	
row_20	RCC2	8817	-0.3742540180683136	-0.5087884	No	
row_21	NUP160	9219	-0.48338833451271057	-0.53431684	No	
row_22	DYNC1LI1	9225	-0.485640287399292	-0.53266996	No	
row_23	ZW10	9608	-0.5987933278083801	-0.5564222	No	
row_24	NUP133	9742	-0.638091504573822	-0.5629316	No	
row_25	CENPC	9776	-0.6510955691337585	-0.56252766	No	
row_26	NEK7	9868	-0.6859025955200195	-0.56595993	No	
row_27	NSL1	10056	-0.7522563338279724	-0.57570606	No	
row_28	CENPQ	10505	-0.9283280968666077	-0.6026356	No	
row_29	KIF2A	10683	-0.9999837875366211	-0.6106807	No	
row_30	PAFAH1B1	10972	-1.1262176036834717	-0.6258233	No	
row_31	PPP2CA	10979	-1.1322259902954102	-0.62159574	No	
row_32	NUP37	11160	-1.2127366065979004	-0.62897485	No	
row_33	PPP2R5E	11506	-1.3869878053665161	-0.64695925	No	
row_34	NUP43	11566	-1.4238897562026978	-0.6451724	No	
row_35	NUDC	11746	-1.5028775930404663	-0.6512942	No	
row_36	CENPH	12009	-1.6705902814865112	-0.6624226	No	
row_37	DSN1	12018	-1.6740033626556396	-0.6561123	No	
row_38	EML4	12060	-1.6994612216949463	-0.65196157	No	
row_39	CKAP5	12102	-1.7267714738845825	-0.64769894	No	
row_40	MAD1L1	12452	-1.9690155982971191	-0.6635729	No	
row_41	ITGB3BP	12608	-2.07639217376709	-0.66569823	No	
row_42	NDE1	12749	-2.1927342414855957	-0.6663179	Yes	
row_43	PPP2R1B	12868	-2.2785732746124268	-0.6650766	Yes	
row_44	CENPP	12908	-2.303586959838867	-0.6583133	Yes	
row_45	PPP2R1A	12937	-2.339176654815674	-0.65064955	Yes	
row_46	RANBP2	12976	-2.3679447174072266	-0.643554	Yes	
row_47	NUP85	13128	-2.4879255294799805	-0.6437187	Yes	
row_48	MAPRE1	13213	-2.5614302158355713	-0.638986	Yes	
row_49	NEK6	13300	-2.6356899738311768	-0.6340862	Yes	
row_50	TAOK1	13393	-2.7209362983703613	-0.62924874	Yes	
row_51	BUB3	13396	-2.7269675731658936	-0.6182124	Yes	
row_52	PPP1CC	13401	-2.736337184906006	-0.60727495	Yes	
row_53	CENPL	13565	-2.9106953144073486	-0.6065306	Yes	
row_54	CLASP2	13578	-2.9258313179016113	-0.5953655	Yes	
row_55	SPC25	13663	-3.0490739345550537	-0.5886347	Yes	
row_56	NUP107	13701	-3.108997344970703	-0.5784341	Yes	
row_57	CENPU	13799	-3.257465124130249	-0.5717413	Yes	
row_58	CENPM	13824	-3.2954530715942383	-0.55988485	Yes	
row_59	SGO1	13874	-3.3820817470550537	-0.5493886	Yes	
row_60	XPO1	13930	-3.492774486541748	-0.5388503	Yes	
