NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MTHFD2	5	9.322992324829102	0.01998088	No	
row_1	CDKN1A	1303	2.5986573696136475	-0.06372184	No	
row_2	HUS1	2413	1.6651315689086914	-0.13650587	No	
row_3	RAD50	3106	1.256378412246704	-0.18144819	No	
row_4	POLE4	4159	0.7662898898124695	-0.25226432	No	
row_5	HMGA1	4452	0.6575340628623962	-0.27095068	No	
row_6	CDKN2A	4925	0.4930264949798584	-0.30239838	No	
row_7	EXOSC8	4998	0.4726797938346863	-0.30632895	No	
row_8	MYC	5159	0.41532614827156067	-0.3164481	No	
row_9	PAN2	5722	0.2704688608646393	-0.3545823	No	
row_10	CDK4	6235	0.15598396956920624	-0.38952097	No	
row_11	PPP1R8	6346	0.13134464621543884	-0.39681405	No	
row_12	RFC1	6442	0.1111915111541748	-0.40311748	No	
row_13	CDKN1B	6676	0.05728136748075485	-0.41904718	No	
row_14	AK2	6839	0.030212590470910072	-0.4301437	No	
row_15	PNN	8275	-0.24300341308116913	-0.5284908	No	
row_16	EED	8278	-0.24374020099639893	-0.5280972	No	
row_17	MXD3	8890	-0.3923715353012085	-0.56934196	No	
row_18	ASF1A	9431	-0.5436388254165649	-0.6053648	No	
row_19	PHF5A	9458	-0.5527006387710571	-0.6059513	No	
row_20	POP7	9548	-0.5771538019180298	-0.6108255	No	
row_21	ZW10	9608	-0.5987933278083801	-0.61358535	No	
row_22	NBN	10021	-0.737618625164032	-0.6403656	No	
row_23	RBBP7	10356	-0.8622064590454102	-0.6614997	No	
row_24	WDR90	10801	-1.0453858375549316	-0.68981385	No	
row_25	ORC2	10835	-1.0635467767715454	-0.689769	No	
row_26	PRIM2	10869	-1.078801155090332	-0.6896909	No	
row_27	DONSON	10880	-1.08437180519104	-0.6880159	No	
row_28	NOP56	11066	-1.171851396560669	-0.6982083	No	
row_29	ING3	11145	-1.2060898542404175	-0.7009533	No	
row_30	CDCA3	11179	-1.2226860523223877	-0.7005615	No	
row_31	POLD3	11204	-1.2339140176773071	-0.6995251	No	
row_32	CKS1B	11211	-1.2388222217559814	-0.69723773	No	
row_33	LYAR	11213	-1.2393854856491089	-0.6946046	No	
row_34	PPM1D	11276	-1.2713298797607422	-0.69610494	No	
row_35	NAA38	11290	-1.276510238647461	-0.69421774	No	
row_36	PSIP1	11358	-1.3110274076461792	-0.6959761	No	
row_37	CCP110	11366	-1.3167662620544434	-0.69358766	No	
row_38	RAD51C	11699	-1.4809976816177368	-0.71323496	No	
row_39	ORC6	11745	-1.5026276111602783	-0.71305966	No	
row_40	SSRP1	11754	-1.5140907764434814	-0.71031	No	
row_41	CTCF	11855	-1.5743447542190552	-0.71376806	No	
row_42	CHEK2	11881	-1.5893770456314087	-0.7120256	No	
row_43	DCLRE1B	11916	-1.6148039102554321	-0.71084785	No	
row_44	USP1	11945	-1.630368709564209	-0.70922273	No	
row_45	RAD1	12079	-1.7115284204483032	-0.7146555	No	
row_46	SNRPB	12131	-1.7425618171691895	-0.7143706	No	
row_47	UBR7	12158	-1.7587741613388062	-0.7123277	No	
row_48	EIF2S1	12199	-1.7865134477615356	-0.71118903	No	
row_49	SUV39H1	12223	-1.8077243566513062	-0.70883274	No	
row_50	NUDT21	12471	-1.9816175699234009	-0.72153175	No	
row_51	HMGB2	12495	-1.997405767440796	-0.7187619	No	
row_52	RPA1	12657	-2.1092865467071533	-0.7252569	Yes	
row_53	SMC3	12710	-2.1576645374298096	-0.7241359	Yes	
row_54	SLBP	12742	-2.184323310852051	-0.7215098	Yes	
row_55	POLD2	12772	-2.210989236831665	-0.7186877	Yes	
row_56	PA2G4	12782	-2.2156484127044678	-0.7144775	Yes	
row_57	RPA3	12786	-2.218459367752075	-0.7098476	Yes	
row_58	NASP	12823	-2.2476110458374023	-0.70742804	Yes	
row_59	RFC2	12832	-2.2531206607818604	-0.7030672	Yes	
row_60	NOLC1	12875	-2.282808303833008	-0.7009843	Yes	
row_61	BRCA2	12880	-2.287917375564575	-0.69627196	Yes	
row_62	EZH2	12887	-2.292285919189453	-0.6916879	Yes	
row_63	CDKN2C	12965	-2.3567583560943604	-0.69185543	Yes	
row_64	TIMELESS	13036	-2.415663003921509	-0.6914122	Yes	
row_65	DUT	13066	-2.4440054893493652	-0.68808216	Yes	
row_66	RAD21	13067	-2.444645881652832	-0.6827525	Yes	
row_67	CCNE1	13126	-2.4870693683624268	-0.68132675	Yes	
row_68	NUP205	13199	-2.547267436981201	-0.6807344	Yes	
row_69	PDS5B	13218	-2.566504955291748	-0.6763793	Yes	
row_70	BRCA1	13232	-2.5760505199432373	-0.67165893	Yes	
row_71	HNRNPD	13296	-2.6312897205352783	-0.6702633	Yes	
row_72	CIT	13340	-2.672502040863037	-0.66739976	Yes	
row_73	SHMT1	13351	-2.68365478515625	-0.66223806	Yes	
row_74	BRMS1L	13364	-2.692570686340332	-0.65719473	Yes	
row_75	SMC6	13383	-2.711507558822632	-0.6525235	Yes	
row_76	NUP153	13388	-2.7157464027404785	-0.6468785	Yes	
row_77	ILF3	13407	-2.745304822921753	-0.6421336	Yes	
row_78	RAN	13416	-2.7494282722473145	-0.6366907	Yes	
row_79	HMGB3	13429	-2.760669469833374	-0.6314989	Yes	
row_80	UNG	13471	-2.8147284984588623	-0.6281875	Yes	
row_81	MCM2	13476	-2.82017183303833	-0.6223147	Yes	
row_82	DDX39A	13576	-2.9249460697174072	-0.6227594	Yes	
row_83	RAD51AP1	13597	-2.956360340118408	-0.61769223	Yes	
row_84	ESPL1	13650	-3.034376621246338	-0.61465985	Yes	
row_85	SPC25	13663	-3.0490739345550537	-0.6088393	Yes	
row_86	DEK	13671	-3.0586061477661133	-0.60265344	Yes	
row_87	SMC1A	13679	-3.0732502937316895	-0.59643567	Yes	
row_88	TRA2B	13685	-3.0848281383514404	-0.5900548	Yes	
row_89	NUP107	13701	-3.108997344970703	-0.58431035	Yes	
row_90	KIF18B	13756	-3.195539712905884	-0.58106446	Yes	
row_91	LBR	13774	-3.2167272567749023	-0.5752229	Yes	
row_92	POLE	13807	-3.27423357963562	-0.57028955	Yes	
row_93	PAICS	13822	-3.2905521392822266	-0.56408036	Yes	
row_94	CENPM	13824	-3.2954530715942383	-0.5569647	Yes	
row_95	TUBG1	13867	-3.3655083179473877	-0.5525214	Yes	
row_96	WEE1	13912	-3.4532673358917236	-0.54802454	Yes	
row_97	CDKN3	13932	-3.493506908416748	-0.5417174	Yes	
row_98	LIG1	13956	-3.5408072471618652	-0.5355827	Yes	
row_99	H2AX	13970	-3.5649285316467285	-0.5287065	Yes	
row_100	PCNA	13974	-3.573845386505127	-0.5211217	Yes	
row_101	RNASEH2A	13976	-3.5777502059936523	-0.5133906	Yes	
row_102	MSH2	14002	-3.6187078952789307	-0.50722396	Yes	
row_103	CTPS1	14007	-3.6348202228546143	-0.49957514	Yes	
row_104	ANP32E	14012	-3.642995834350586	-0.49190855	Yes	
row_105	SPAG5	14030	-3.6785268783569336	-0.48506021	Yes	
row_106	H2AZ1	14057	-3.7277517318725586	-0.4787247	Yes	
row_107	PRKDC	14064	-3.7394206523895264	-0.47098568	Yes	
row_108	PSMC3IP	14065	-3.7454113960266113	-0.46282017	Yes	
row_109	SPC24	14082	-3.772278308868408	-0.45569855	Yes	
row_110	BARD1	14085	-3.7750301361083984	-0.44760627	Yes	
row_111	GINS3	14088	-3.7781553268432617	-0.4395072	Yes	
row_112	DSCC1	14089	-3.779912233352661	-0.43126646	Yes	
row_113	AURKB	14117	-3.8404736518859863	-0.42475408	Yes	
row_114	MCM7	14123	-3.8484561443328857	-0.41670847	Yes	
row_115	PTTG1	14146	-3.9194247722625732	-0.40967944	Yes	
row_116	CHEK1	14174	-3.975320816040039	-0.40287313	Yes	
row_117	CCNB2	14181	-3.9911649227142334	-0.39458525	Yes	
row_118	CDC25A	14200	-4.043198585510254	-0.38701078	Yes	
row_119	UBE2T	14252	-4.169999599456787	-0.38143373	Yes	
row_120	BUB1B	14259	-4.18538761138916	-0.37272242	Yes	
row_121	GINS4	14282	-4.261829853057861	-0.36494693	Yes	
row_122	TK1	14299	-4.321258544921875	-0.35662845	Yes	
row_123	RANBP1	14312	-4.348304748535156	-0.3479754	Yes	
row_124	MAD2L1	14319	-4.364737510681152	-0.3388731	Yes	
row_125	RFC3	14320	-4.36696720123291	-0.32935253	Yes	
row_126	CKS2	14323	-4.368638515472412	-0.3199661	Yes	
row_127	TOP2A	14336	-4.396031379699707	-0.311209	Yes	
row_128	MCM6	14344	-4.434074401855469	-0.30202442	Yes	
row_129	MCM5	14348	-4.448392868041992	-0.29253304	Yes	
row_130	PLK4	14362	-4.487520217895508	-0.28364536	Yes	
row_131	TACC3	14367	-4.511338233947754	-0.27408564	Yes	
row_132	JPT1	14369	-4.516232013702393	-0.26430854	Yes	
row_133	DLGAP5	14380	-4.538161754608154	-0.25510377	Yes	
row_134	POLA2	14381	-4.539475440979004	-0.2452071	Yes	
row_135	CDCA8	14398	-4.60060977935791	-0.2362796	Yes	
row_136	DEPDC1	14401	-4.618828773498535	-0.22634773	Yes	
row_137	MMS22L	14403	-4.621684551239014	-0.21634074	Yes	
row_138	AURKA	14405	-4.62760591506958	-0.20632082	Yes	
row_139	HELLS	14419	-4.688835620880127	-0.19699427	Yes	
row_140	GINS1	14422	-4.701045989990234	-0.18688315	Yes	
row_141	UBE2S	14429	-4.723684787750244	-0.1769983	Yes	
row_142	TUBB	14449	-4.836583137512207	-0.16776305	Yes	
row_143	ASF1B	14453	-4.843985557556152	-0.15740922	Yes	
row_144	BIRC5	14475	-4.920009613037109	-0.1481299	Yes	
row_145	MKI67	14490	-4.981418609619141	-0.13823438	Yes	
row_146	DCTPP1	14497	-4.997772693634033	-0.12775198	Yes	
row_147	E2F8	14501	-5.022458076477051	-0.117009036	Yes	
row_148	KPNA2	14504	-5.043130874633789	-0.10615213	Yes	
row_149	MYBL2	14509	-5.087892532348633	-0.09533545	Yes	
row_150	ATAD2	14512	-5.098159313201904	-0.084358566	Yes	
row_151	CDC20	14561	-5.399912357330322	-0.0758934	Yes	
row_152	SMC4	14562	-5.4042582511901855	-0.06411138	Yes	
row_153	TRIP13	14581	-5.6104512214660645	-0.053120095	Yes	
row_154	PLK1	14635	-6.4731526374816895	-0.042659637	Yes	
row_155	HMMR	14646	-6.727730751037598	-0.0286813	Yes	
row_156	RRM2	14649	-6.879329204559326	-0.013821229	Yes	
row_157	CENPE	14655	-6.971699237823486	0.0010335102	Yes	
