NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC7A1	52	6.46926736831665	0.012144734	No	
row_1	SLC7A5	126	5.490959644317627	0.02046682	No	
row_2	ATF5	487	3.7941229343414307	0.004916779	No	
row_3	EGF	861	3.1014950275421143	-0.013211126	No	
row_4	RPS6KA5	1140	2.772006034851074	-0.02560297	No	
row_5	HUS1	2413	1.6651315689086914	-0.10908101	No	
row_6	TGFB1	2996	1.315384030342102	-0.14593092	No	
row_7	HIRA	3310	1.1632249355316162	-0.16464102	No	
row_8	CHMP1A	3358	1.1416529417037964	-0.1651004	No	
row_9	PML	3740	0.9445755481719971	-0.1890209	No	
row_10	SLC38A1	4260	0.723773181438446	-0.22297369	No	
row_11	HMGA1	4452	0.6575340628623962	-0.23451814	No	
row_12	LIG3	4819	0.5300683379173279	-0.25841394	No	
row_13	MT2A	5050	0.4519975185394287	-0.27314144	No	
row_14	MYC	5159	0.41532614827156067	-0.27956343	No	
row_15	H2BC12	5582	0.30433180928230286	-0.30786115	No	
row_16	E2F4	5756	0.25977301597595215	-0.31913373	No	
row_17	PURA	6183	0.16597190499305725	-0.34804296	No	
row_18	CDK4	6235	0.15598396956920624	-0.3511731	No	
row_19	KATNA1	6621	0.0691552609205246	-0.37749648	No	
row_20	CDKN1B	6676	0.05728136748075485	-0.38107294	No	
row_21	ARID4A	6800	0.03728752210736275	-0.3894458	No	
row_22	CUL4A	7053	-0.0050933039747178555	-0.40677327	No	
row_23	MAPK14	7243	-0.03471457585692406	-0.4196938	No	
row_24	RBM14	9015	-0.4259568154811859	-0.5405192	No	
row_25	SAP30	9042	-0.4338145852088928	-0.54125386	No	
row_26	NUP50	9059	-0.4382619857788086	-0.5412896	No	
row_27	MNAT1	9454	-0.5504179000854492	-0.5670626	No	
row_28	SRSF10	9729	-0.6348274350166321	-0.5843734	No	
row_29	MEIS1	10159	-0.7906500697135925	-0.61197084	No	
row_30	PRIM2	10869	-1.078801155090332	-0.65813446	No	
row_31	PAFAH1B1	10972	-1.1262176036834717	-0.66241586	No	
row_32	YTHDC1	11088	-1.1806910037994385	-0.66745937	No	
row_33	HMGN2	11147	-1.2067433595657349	-0.6685174	No	
row_34	CKS1B	11211	-1.2388222217559814	-0.6698416	No	
row_35	WRN	11481	-1.374588131904602	-0.6850104	No	
row_36	ORC6	11745	-1.5026276111602783	-0.69945514	No	
row_37	CTCF	11855	-1.5743447542190552	-0.70312905	No	
row_38	DMD	11877	-1.5868438482284546	-0.70071745	No	
row_39	E2F3	11936	-1.6287001371383667	-0.70075	No	
row_40	NCL	12019	-1.6744080781936646	-0.70232284	No	
row_41	TLE3	12021	-1.6745953559875488	-0.69832176	No	
row_42	DKC1	12065	-1.7013903856277466	-0.6971455	No	
row_43	SUV39H1	12223	-1.8077243566513062	-0.70355505	No	
row_44	TRAIP	12346	-1.891211986541748	-0.70735335	No	
row_45	CUL5	12508	-2.0080504417419434	-0.7135513	No	
row_46	CASP8AP2	12592	-2.062910795211792	-0.7142488	No	
row_47	FANCC	12682	-2.1289350986480713	-0.71519864	No	
row_48	NASP	12823	-2.2476110458374023	-0.7193693	Yes	
row_49	NOLC1	12875	-2.282808303833008	-0.71733046	Yes	
