NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUB1	388	4.043278694152832	0.0019573194	Yes	
row_1	TRAFD1	480	3.8081939220428467	0.022609748	Yes	
row_2	MOV10	551	3.6545939445495605	0.043616872	Yes	
row_3	C1S	613	3.5407965183258057	0.06443731	Yes	
row_4	TMEM140	807	3.187826633453369	0.07371879	Yes	
row_5	CASP8	846	3.123108148574829	0.0931663	Yes	
row_6	IFI27	1043	2.8819363117218018	0.10008233	Yes	
row_7	IRF2	1172	2.7378478050231934	0.110641375	Yes	
row_8	HLA-C	1202	2.6990408897399902	0.12771142	Yes	
row_9	SLC25A28	1209	2.6945877075195312	0.14632633	Yes	
row_10	GMPR	1305	2.597569704055786	0.15815656	Yes	
row_11	MVB12A	1321	2.5849056243896484	0.1753802	Yes	
row_12	LAMP3	1325	2.5782837867736816	0.19337952	Yes	
row_13	STAT2	1402	2.501420021057129	0.20583302	Yes	
row_14	ISG20	1427	2.473947048187256	0.22165638	Yes	
row_15	IRF9	1477	2.429978370666504	0.2354559	Yes	
row_16	UBE2L6	1534	2.372887372970581	0.24837255	Yes	
row_17	CMTR1	1602	2.303541660308838	0.26004568	Yes	
row_18	B2M	1655	2.2637274265289307	0.27246574	Yes	
row_19	TRIM21	1668	2.2506349086761475	0.28753474	Yes	
row_20	OGFR	1681	2.2277626991271973	0.30244225	Yes	
row_21	IFI35	1714	2.18251633644104	0.31565958	Yes	
row_22	BATF2	1728	2.173318862915039	0.33011413	Yes	
row_23	IFITM2	1747	2.155266523361206	0.34409854	Yes	
row_24	RSAD2	1795	2.1155457496643066	0.35581496	Yes	
row_25	GBP2	1815	2.103203773498535	0.36936322	Yes	
row_26	USP18	1830	2.0893006324768066	0.383156	Yes	
row_27	PARP12	1922	2.006131172180176	0.3910843	Yes	
row_28	IFITM1	1945	1.9892650842666626	0.40362248	Yes	
row_29	ISG15	1982	1.955973505973816	0.41496608	Yes	
row_30	LGALS3BP	2025	1.9258394241333008	0.42568567	Yes	
row_31	IFIT2	2038	1.9169113636016846	0.4383983	Yes	
row_32	TRIM25	2043	1.9143284559249878	0.451641	Yes	
row_33	PLSCR1	2053	1.9076520204544067	0.46449384	Yes	
row_34	TAP1	2085	1.8843408823013306	0.47567433	Yes	
row_35	IRF7	2090	1.8819838762283325	0.48868862	Yes	
row_36	ADAR	2098	1.8751220703125	0.50144887	Yes	
row_37	LAP3	2133	1.841220736503601	0.5121193	Yes	
row_38	OASL	2162	1.817708134651184	0.5230349	Yes	
row_39	OAS1	2208	1.782450795173645	0.53253645	Yes	
row_40	PARP14	2326	1.7156352996826172	0.53663164	Yes	
row_41	IFITM3	2411	1.6664084196090698	0.542641	Yes	
row_42	TDRD7	2436	1.650465726852417	0.55264986	Yes	
row_43	IFIT3	2442	1.6481319665908813	0.5639444	Yes	
row_44	CCRL2	2477	1.6288689374923706	0.5731154	Yes	
row_45	TRIM5	2617	1.5397789478302002	0.57446116	Yes	
row_46	BST2	2633	1.5240650177001953	0.58419436	Yes	
row_47	SAMD9	2733	1.4592649936676025	0.58771306	Yes	
row_48	NMI	2754	1.4484509229660034	0.59656966	Yes	
row_49	DHX58	2844	1.4022853374481201	0.60037136	Yes	
row_50	RTP4	2873	1.388895034790039	0.60825914	Yes	
row_51	HELZ2	2888	1.3807196617126465	0.61704874	Yes	
row_52	UBA7	2914	1.3658363819122314	0.6249794	Yes	
row_53	HERC6	2928	1.3576371669769287	0.6336745	Yes	
row_54	SAMD9L	2967	1.3323487043380737	0.64047766	Yes	
row_55	LY6E	2990	1.3185696601867676	0.64828014	Yes	
row_56	SP110	3016	1.3043640851974487	0.6557767	Yes	
row_57	CXCL11	3057	1.2865748405456543	0.6621196	Yes	
row_58	TRIM14	3109	1.2558224201202393	0.6674915	Yes	
row_59	IFI44L	3183	1.2260997295379639	0.67114574	Yes	
row_60	PNPT1	3208	1.2164052724838257	0.6780898	Yes	
row_61	RNF31	3212	1.2150113582611084	0.6864632	Yes	
row_62	PSME2	3312	1.162538766860962	0.6878867	Yes	
row_63	MX1	3317	1.1592756509780884	0.6957981	Yes	
row_64	CMPK2	3451	1.0915120840072632	0.6943899	No	
row_65	IFI44	3834	0.9050215482711792	0.6745996	No	
row_66	EIF2AK2	3847	0.8992417454719543	0.6801266	No	
row_67	EPSTI1	3903	0.8734211921691895	0.68252426	No	
row_68	IFIH1	4107	0.7864985466003418	0.67416495	No	
row_69	CNP	4466	0.650785505771637	0.6542244	No	
row_70	GBP4	4834	0.52241051197052	0.6327606	No	
row_71	IRF1	4880	0.5052878856658936	0.6332442	No	
row_72	SELL	5144	0.4192243814468384	0.6181795	No	
row_73	IL15	5309	0.37120819091796875	0.6095608	No	
row_74	RIPK2	5494	0.3275003731250763	0.5992627	No	
row_75	TENT5A	5797	0.24953316152095795	0.5803269	No	
row_76	PROCR	8548	-0.3001662790775299	0.39397404	No	
row_77	CSF1	9984	-0.7251250147819519	0.30074576	No	
row_78	CD47	10695	-1.0045690536499023	0.25917873	No	
row_79	CD74	12306	-1.86673903465271	0.16201755	No	
