NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MISP	682	3.3995158672332764	-0.035004716	No	
row_1	KIF3B	802	3.199963331222534	-0.032026753	No	
row_2	ABRAXAS1	1386	2.5187721252441406	-0.06329993	No	
row_3	KIFC2	1484	2.427767276763916	-0.061502006	No	
row_4	DYNLT1	1566	2.343423366546631	-0.058898855	No	
row_5	OFD1	2071	1.8930983543395996	-0.08692547	No	
row_6	SBDS	2228	1.7739287614822388	-0.09145977	No	
row_7	KAT5	2270	1.748974084854126	-0.088180535	No	
row_8	NSFL1C	2433	1.6534003019332886	-0.09354713	No	
row_9	NDEL1	2486	1.6219176054000854	-0.09146644	No	
row_10	GPSM1	2516	1.606202244758606	-0.08786042	No	
row_11	PLK3	2560	1.5796211957931519	-0.08530885	No	
row_12	MAP1S	2770	1.4392846822738647	-0.09465065	No	
row_13	UBXN2B	2899	1.375731348991394	-0.09864924	No	
row_14	DCTN2	3676	0.9834949970245361	-0.14853267	No	
row_15	AURKC	3713	0.9667951464653015	-0.14763618	No	
row_16	CEP126	4174	0.7602837085723877	-0.17658834	No	
row_17	GOLGA2	4677	0.5820404291152954	-0.20904717	No	
row_18	WRAP73	4716	0.5679590106010437	-0.20967819	No	
row_19	TUBG2	4961	0.4828641414642334	-0.22475804	No	
row_20	ABRAXAS2	5284	0.38026437163352966	-0.24555412	No	
row_21	ENKD1	5415	0.34404823184013367	-0.25328597	No	
row_22	MAP10	5619	0.29520294070243835	-0.2662032	No	
row_23	NUMA1	5644	0.2878921627998352	-0.2668486	No	
row_24	MAP4	6174	0.1686544567346573	-0.30260316	No	
row_25	DYNC1H1	6290	0.14277496933937073	-0.31000602	No	
row_26	EFHC1	6646	0.06595747172832489	-0.3341647	No	
row_27	CDK5RAP2	6870	0.026054957881569862	-0.34939405	No	
row_28	CLASP1	7110	-0.01384170725941658	-0.36576515	No	
row_29	RHOA	7291	-0.041897453367710114	-0.37798515	No	
row_30	TNKS	7809	-0.13530607521533966	-0.41303155	No	
row_31	SPICE1	7967	-0.17033423483371735	-0.4232238	No	
row_32	CCDC61	8178	-0.21918506920337677	-0.43688688	No	
row_33	RMDN1	8375	-0.2630312740802765	-0.44943532	No	
row_34	PIBF1	8497	-0.28742554783821106	-0.45674625	No	
row_35	PTPA	8517	-0.29264023900032043	-0.45703158	No	
row_36	FBXW11	8928	-0.402535080909729	-0.48379564	No	
row_37	ZW10	9608	-0.5987933278083801	-0.528356	No	
row_38	DCTN6	9688	-0.6219570636749268	-0.53161556	No	
row_39	DCTN1	10358	-0.864328145980835	-0.5745634	No	
row_40	LSM14A	10589	-0.9641602039337158	-0.58700395	No	
row_41	HDAC3	10639	-0.9832778573036194	-0.5869431	No	
row_42	MAP9	10669	-0.9962561726570129	-0.585463	No	
row_43	KIF2A	10683	-0.9999837875366211	-0.5828707	No	
row_44	AAAS	10763	-1.0310819149017334	-0.5847042	No	
row_45	RANGRF	10785	-1.0410189628601074	-0.5825185	No	
row_46	RAB11A	10838	-1.0640462636947632	-0.58238226	No	
row_47	PAFAH1B1	10972	-1.1262176036834717	-0.58759403	No	
row_48	STAG2	11365	-1.3159948587417603	-0.60993767	No	
row_49	ZNF207	11525	-1.3972949981689453	-0.6159908	No	
row_50	NUDC	11746	-1.5028775930404663	-0.62586665	No	
row_51	HTT	11850	-1.5719518661499023	-0.6274638	No	
row_52	CHEK2	11881	-1.5893770456314087	-0.6239852	No	
row_53	EML1	11924	-1.621372103691101	-0.6212194	No	
row_54	CENPH	12009	-1.6705902814865112	-0.6211674	No	
row_55	INTS13	12067	-1.7018178701400757	-0.6191518	No	
row_56	CKAP5	12102	-1.7267714738845825	-0.61546904	No	
row_57	SETD2	12532	-2.0223357677459717	-0.63789266	Yes	
row_58	CEP192	12541	-2.0277884006500244	-0.63137454	Yes	
row_59	BCCIP	12575	-2.0519680976867676	-0.62648964	Yes	
row_60	SMC3	12710	-2.1576645374298096	-0.628175	Yes	
row_61	KPNB1	12737	-2.1796443462371826	-0.6223642	Yes	
row_62	NDE1	12749	-2.1927342414855957	-0.61547726	Yes	
row_63	SPAST	12860	-2.2749462127685547	-0.6151051	Yes	
row_64	PCNT	12885	-2.290907382965088	-0.60876906	Yes	
row_65	STAG1	13024	-2.404641628265381	-0.60986847	Yes	
row_66	SUN2	13093	-2.4667770862579346	-0.60594225	Yes	
row_67	VCP	13134	-2.492818593978882	-0.6000017	Yes	
row_68	ITGB1	13141	-2.500746965408325	-0.5916977	Yes	
row_69	MAPRE1	13213	-2.5614302158355713	-0.5876477	Yes	
row_70	NEK6	13300	-2.6356899738311768	-0.58436936	Yes	
row_71	RAN	13416	-2.7494282722473145	-0.5826869	Yes	
row_72	CLASP2	13578	-2.9258313179016113	-0.5835498	Yes	
row_73	ESPL1	13650	-3.034376621246338	-0.57785136	Yes	
row_74	SPC25	13663	-3.0490739345550537	-0.5680484	Yes	
row_75	SMC1A	13679	-3.0732502937316895	-0.55836725	Yes	
row_76	FLNA	13683	-3.0811264514923096	-0.5478343	Yes	
row_77	FAM110A	13792	-3.243603229522705	-0.54394853	Yes	
row_78	TUBG1	13867	-3.3655083179473877	-0.5373021	Yes	
row_79	MZT1	13880	-3.3938071727752686	-0.5262975	Yes	
row_80	ARHGEF10	13913	-3.4533333778381348	-0.5164595	Yes	
row_81	GPSM2	13924	-3.471224308013916	-0.5050478	Yes	
row_82	NUF2	14032	-3.6863019466400146	-0.4995503	Yes	
row_83	CENPA	14111	-3.818904161453247	-0.49159837	Yes	
row_84	AURKB	14117	-3.8404736518859863	-0.47855613	Yes	
row_85	RCC1	14124	-3.851968288421631	-0.4655425	Yes	
row_86	INCENP	14142	-3.902808666229248	-0.4531074	Yes	
row_87	NUSAP1	14177	-3.9777774810791016	-0.4415789	Yes	
