NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS27	438	3.8919456005096436	-0.020768376	No	
row_1	CLIP1	449	3.8674981594085693	-0.0120605845	No	
row_2	PPP2R5A	617	3.528843402862549	-0.015010022	No	
row_3	PPP2R5B	1024	2.9047722816467285	-0.035968922	No	
row_4	MIS12	1684	2.22322416305542	-0.07604308	No	
row_5	CEP164	1721	2.1788792610168457	-0.07323278	No	
row_6	OFD1	2071	1.8930983543395996	-0.09271654	No	
row_7	CSNK1E	2291	1.7339469194412231	-0.10361594	No	
row_8	CSNK2A1	2292	1.733453631401062	-0.09940371	No	
row_9	HSP90AA1	2437	1.6497212648391724	-0.10533215	No	
row_10	NDEL1	2486	1.6219176054000854	-0.10470335	No	
row_11	PPP2CB	2601	1.5560847520828247	-0.10878908	No	
row_12	CSNK1D	2908	1.3704766035079956	-0.12657543	No	
row_13	CSNK2A2	3160	1.2364774942398071	-0.14089192	No	
row_14	TUBGCP6	3293	1.1723583936691284	-0.14715225	No	
row_15	SDCCAG8	3426	1.1045596599578857	-0.15357731	No	
row_16	TUBA4A	3550	1.0452306270599365	-0.15952547	No	
row_17	DCTN2	3676	0.9834949970245361	-0.16576165	No	
row_18	CENPT	4511	0.6364036202430725	-0.22176817	No	
row_19	DYNC1LI2	4576	0.6165409088134766	-0.22468653	No	
row_20	NINL	4818	0.5300987362861633	-0.24002942	No	
row_21	TUBG2	4961	0.4828641414642334	-0.24865527	No	
row_22	CEP57	4964	0.480354905128479	-0.24762605	No	
row_23	DYNLL2	5199	0.4039532542228699	-0.2627924	No	
row_24	NUMA1	5644	0.2878921627998352	-0.29273254	No	
row_25	CEP63	5833	0.23804038763046265	-0.30512768	No	
row_26	TUBB4A	5861	0.23187382519245148	-0.30642748	No	
row_27	PPP2R5C	5887	0.22572794556617737	-0.30760416	No	
row_28	CEP250	6186	0.16557730734348297	-0.3277663	No	
row_29	DYNC1H1	6290	0.14277496933937073	-0.33452722	No	
row_30	PMF1	6400	0.1174028292298317	-0.34176385	No	
row_31	NEK9	6415	0.1152837723493576	-0.34244984	No	
row_32	B9D2	6610	0.07134231179952621	-0.3556641	No	
row_33	SEC13	6743	0.04567389562726021	-0.3646622	No	
row_34	CDK5RAP2	6870	0.026054957881569862	-0.37329394	No	
row_35	SSNA1	6984	0.005666743498295546	-0.38107812	No	
row_36	CSNK2B	7035	-0.0023276559077203274	-0.38452289	No	
row_37	CLASP1	7110	-0.01384170725941658	-0.38959587	No	
row_38	PRKACA	7166	-0.022336570546030998	-0.39333704	No	
row_39	MZT2B	7257	-0.03726617991924286	-0.39945725	No	
row_40	PRKAR2B	7363	-0.05330798402428627	-0.4065736	No	
row_41	CEP76	7481	-0.07143789529800415	-0.41447398	No	
row_42	MZT2A	7580	-0.08881007879972458	-0.42102098	No	
