NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHMP1B	488	3.791710376739502	-0.02176775	No	
row_1	CHMP4C	578	3.6101508140563965	-0.01666762	No	
row_2	MISP	682	3.3995158672332764	-0.013184595	No	
row_3	CHMP2A	764	3.263272285461426	-0.008612421	No	
row_4	KIF3B	802	3.199963331222534	-0.0012118943	No	
row_5	BOD1	953	2.993666410446167	-0.0022214584	No	
row_6	CHMP5	1177	2.7352237701416016	-0.009053078	No	
row_7	ABRAXAS1	1386	2.5187721252441406	-0.015526069	No	
row_8	KIFC2	1484	2.427767276763916	-0.014650385	No	
row_9	MIS12	1684	2.22322416305542	-0.021423066	No	
row_10	OFD1	2071	1.8930983543395996	-0.042078312	No	
row_11	CHMP7	2507	1.6126998662948608	-0.0669738	No	
row_12	AKAP8L	2566	1.574450135231018	-0.06606858	No	
row_13	BECN1	2759	1.4456658363342285	-0.07477638	No	
row_14	CHMP1A	3358	1.1416529417037964	-0.112342305	No	
row_15	CHMP4B	3436	1.097801685333252	-0.11422464	No	
row_16	DCTN2	3676	0.9834949970245361	-0.12760004	No	
row_17	AURKC	3713	0.9667951464653015	-0.12707067	No	
row_18	VPS4B	4423	0.6667286157608032	-0.17374398	No	
row_19	GOLGA2	4677	0.5820404291152954	-0.1893295	No	
row_20	WRAP73	4716	0.5679590106010437	-0.19017707	No	
row_21	TUBG2	4961	0.4828641414642334	-0.20545202	No	
row_22	ABRAXAS2	5284	0.38026437163352966	-0.22640848	No	
row_23	MAP10	5619	0.29520294070243835	-0.24845432	No	
row_24	PDCD6IP	5735	0.267487496137619	-0.25552955	No	
row_25	CHMP4A	5843	0.2368091344833374	-0.2621501	No	
row_26	VPS4A	5995	0.2031567096710205	-0.27190036	No	
row_27	KMT5A	6063	0.19070293009281158	-0.2759141	No	
row_28	PHF13	6253	0.15199685096740723	-0.2884359	No	
row_29	CHMP2B	6330	0.13496741652488708	-0.29324165	No	
row_30	EML3	6558	0.08137911558151245	-0.30859548	No	
row_31	CLASP1	7110	-0.01384170725941658	-0.3464349	No	
row_32	RHOA	7291	-0.041897453367710114	-0.35868007	No	
row_33	CHMP6	7327	-0.04774827882647514	-0.360938	No	
row_34	CHMP3	7674	-0.10558244585990906	-0.38439816	No	
row_35	SPICE1	7967	-0.17033423483371735	-0.40394443	No	
row_36	CCDC61	8178	-0.21918506920337677	-0.41770124	No	
row_37	INO80	8319	-0.25190237164497375	-0.4265437	No	
row_38	RMDN1	8375	-0.2630312740802765	-0.42950767	No	
row_39	PIBF1	8497	-0.28742554783821106	-0.43693346	No	
row_40	PINX1	8680	-0.3310525417327881	-0.44841757	No	
row_41	DIS3L2	8853	-0.38202136754989624	-0.45905575	No	
row_42	TTN	9141	-0.4651281237602234	-0.47734216	No	
row_43	ZW10	9608	-0.5987933278083801	-0.50751984	No	
row_44	CENPC	9776	-0.6510955691337585	-0.516978	No	
row_45	KLHL22	10198	-0.8025369644165039	-0.5434287	No	
row_46	NCAPH2	10412	-0.8871610164642334	-0.5553159	No	
row_47	CHAMP1	10553	-0.9511122107505798	-0.5619855	No	
row_48	LSM14A	10589	-0.9641602039337158	-0.5613956	No	
row_49	MAP9	10669	-0.9962561726570129	-0.56373096	No	
row_50	KIF2A	10683	-0.9999837875366211	-0.5615172	No	
row_51	AAAS	10763	-1.0310819149017334	-0.56374437	No	
row_52	RANGRF	10785	-1.0410189628601074	-0.561953	No	
row_53	RAB11A	10838	-1.0640462636947632	-0.56222147	No	
row_54	CDC23	11157	-1.2126121520996094	-0.58031625	No	
row_55	STAG2	11365	-1.3159948587417603	-0.5904583	No	
row_56	NUP62	11402	-1.3373687267303467	-0.5887773	No	
row_57	ZNF207	11525	-1.3972949981689453	-0.5928228	No	
row_58	TENT4A	11567	-1.424216628074646	-0.59121567	No	
row_59	NUDC	11746	-1.5028775930404663	-0.59878314	No	
row_60	CHEK2	11881	-1.5893770456314087	-0.60305667	No	
row_61	EML4	12060	-1.6994612216949463	-0.61001325	No	
row_62	WAPL	12324	-1.87734055519104	-0.6222609	No	
row_63	MAD1L1	12452	-1.9690155982971191	-0.62487346	No	
row_64	CEP192	12541	-2.0277884006500244	-0.624622	No	
row_65	BCCIP	12575	-2.0519680976867676	-0.62051404	No	
row_66	SMC3	12710	-2.1576645374298096	-0.62302154	No	
row_67	KPNB1	12737	-2.1796443462371826	-0.61803555	No	
row_68	STAG1	13024	-2.404641628265381	-0.6302259	No	
row_69	CUL3	13144	-2.5047643184661865	-0.63062346	No	
row_70	MAPRE1	13213	-2.5614302158355713	-0.6273386	No	
row_71	RAN	13416	-2.7494282722473145	-0.63268226	Yes	
row_72	NCAPD2	13424	-2.757023572921753	-0.6245957	Yes	
row_73	RRS1	13452	-2.792339324951172	-0.61777437	Yes	
row_74	SEH1L	13550	-2.8976032733917236	-0.61543864	Yes	
row_75	CLASP2	13578	-2.9258313179016113	-0.60820246	Yes	
row_76	ESPL1	13650	-3.034376621246338	-0.6036541	Yes	
row_77	SMC1A	13679	-3.0732502937316895	-0.59602857	Yes	
row_78	FLNA	13683	-3.0811264514923096	-0.5866598	Yes	
row_79	KIF18B	13756	-3.195539712905884	-0.58167934	Yes	
row_80	CDT1	13848	-3.3300797939300537	-0.57758707	Yes	
row_81	TUBG1	13867	-3.3655083179473877	-0.5683658	Yes	
row_82	MZT1	13880	-3.3938071727752686	-0.55864406	Yes	
row_83	ARHGEF10	13913	-3.4533333778381348	-0.5501124	Yes	
row_84	KNSTRN	13914	-3.4543163776397705	-0.5393776	Yes	
row_85	PSRC1	13954	-3.535795211791992	-0.53107095	Yes	
row_86	SPAG5	14030	-3.6785268783569336	-0.5247958	Yes	
row_87	NUF2	14032	-3.6863019466400146	-0.51340884	Yes	
row_88	KNTC1	14053	-3.717740535736084	-0.50323045	Yes	
row_89	AURKB	14117	-3.8404736518859863	-0.495627	Yes	
row_90	INCENP	14142	-3.902808666229248	-0.4851485	Yes	
row_91	CDCA5	14154	-3.926619052886963	-0.47370222	Yes	
row_92	NUSAP1	14177	-3.9777774810791016	-0.46285322	Yes	
row_93	SKA1	14195	-4.037662506103516	-0.4514744	Yes	
row_94	CENPK	14210	-4.059407711029053	-0.43982172	Yes	
row_95	NCAPG2	14226	-4.108434677124023	-0.42808545	Yes	
row_96	KIF2C	14230	-4.118091583251953	-0.4154941	Yes	
row_97	ZWINT	14242	-4.147773265838623	-0.40336058	Yes	
row_98	KIF22	14255	-4.174521446228027	-0.39121267	Yes	
row_99	KNL1	14262	-4.192275524139404	-0.37859708	Yes	
row_100	SPDL1	14274	-4.2303032875061035	-0.36620706	Yes	
row_101	CENPI	14280	-4.256800174713135	-0.35332218	Yes	
row_102	KIFC1	14316	-4.3611626625061035	-0.34217554	Yes	
row_103	CEP55	14345	-4.439138889312744	-0.33030534	Yes	
row_104	SKA2	14357	-4.470288276672363	-0.31716955	Yes	
row_105	NCAPH	14365	-4.504103183746338	-0.30365363	Yes	
row_106	KIF4A	14377	-4.534234046936035	-0.29031911	Yes	
row_107	DLGAP5	14380	-4.538161754608154	-0.27635363	Yes	
row_108	CDCA8	14398	-4.60060977935791	-0.26322535	Yes	
row_109	CCNB1	14425	-4.713579177856445	-0.25036475	Yes	
row_110	KIF11	14439	-4.784952163696289	-0.23638858	Yes	
row_111	NCAPD3	14459	-4.875181674957275	-0.22254454	Yes	
row_112	KIF18A	14460	-4.878007888793945	-0.2073854	Yes	
row_113	BIRC5	14475	-4.920009613037109	-0.19305828	Yes	
row_114	NDC80	14480	-4.943078517913818	-0.17797196	Yes	
row_115	SMC2	14488	-4.976254463195801	-0.16298878	Yes	
row_116	RACGAP1	14491	-4.982564926147461	-0.14764223	Yes	
row_117	NCAPG	14493	-4.987353801727295	-0.13221204	Yes	
row_118	SKA3	14517	-5.15952730178833	-0.11775936	Yes	
row_119	TPX2	14529	-5.208478927612305	-0.10232952	Yes	
row_120	SMC4	14562	-5.4042582511901855	-0.087735064	Yes	
row_121	KIF14	14576	-5.513286590576172	-0.071495496	Yes	
row_122	KIF23	14587	-5.661562442779541	-0.05458888	Yes	
row_123	PRC1	14605	-5.891059398651123	-0.037450336	Yes	
