NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS27	438	3.8919456005096436	-0.015329165	No	
row_1	CLIP1	449	3.8674981594085693	-0.0013634218	No	
row_2	PPP2R5A	617	3.528843402862549	5.3929235E-4	No	
row_3	PPP2R5B	1024	2.9047722816467285	-0.016332671	No	
row_4	MIS12	1684	2.22322416305542	-0.053158343	No	
row_5	NDEL1	2486	1.6219176054000854	-0.10201219	No	
row_6	PPP2CB	2601	1.5560847520828247	-0.10394434	No	
row_7	CDC16	3073	1.2753393650054932	-0.13145262	No	
row_8	ANAPC2	3500	1.0718399286270142	-0.15664206	No	
row_9	CENPT	4511	0.6364036202430725	-0.22358006	No	
row_10	DYNC1LI2	4576	0.6165409088134766	-0.22563864	No	
row_11	DYNLL2	5199	0.4039532542228699	-0.2668163	No	
row_12	ANAPC16	5252	0.3890446126461029	-0.2689128	No	
row_13	CDC26	5371	0.35389527678489685	-0.2756742	No	
row_14	PPP2R5C	5887	0.22572794556617737	-0.31018016	No	
row_15	DYNC1H1	6290	0.14277496933937073	-0.33724156	No	
row_16	ANAPC11	6344	0.13178838789463043	-0.34038138	No	
row_17	PMF1	6400	0.1174028292298317	-0.34371302	No	
row_18	B9D2	6610	0.07134231179952621	-0.35779318	No	
row_19	SEC13	6743	0.04567389562726021	-0.3666836	No	
row_20	CLASP1	7110	-0.01384170725941658	-0.3917616	No	
row_21	UBE2E1	7708	-0.11210741847753525	-0.43232837	No	
row_22	DYNC1I2	7818	-0.1385660320520401	-0.4392876	No	
row_23	PPP2R5D	8503	-0.2889098823070526	-0.48515818	No	
row_24	CENPS	8658	-0.32636046409606934	-0.49449575	No	
row_25	RCC2	8817	-0.3742540180683136	-0.5039265	No	
row_26	ANAPC10	8867	-0.38567543029785156	-0.5058298	No	
row_27	NUP160	9219	-0.48338833451271057	-0.52809894	No	
row_28	DYNC1LI1	9225	-0.485640287399292	-0.5266024	No	
row_29	ZW10	9608	-0.5987933278083801	-0.55056286	No	
row_30	UBE2D1	9738	-0.6375408172607422	-0.5570049	No	
row_31	NUP133	9742	-0.638091504573822	-0.5547935	No	
row_32	CENPC	9776	-0.6510955691337585	-0.5545926	No	
row_33	NSL1	10056	-0.7522563338279724	-0.5708994	No	
row_34	CENPQ	10505	-0.9283280968666077	-0.59814316	No	
row_35	ANAPC5	10527	-0.9390822052955627	-0.59602726	No	
row_36	ANAPC7	10604	-0.9700378179550171	-0.59757054	No	
row_37	KIF2A	10683	-0.9999837875366211	-0.59913766	No	
row_38	ANAPC4	10714	-1.0138741731643677	-0.5973564	No	
row_39	PAFAH1B1	10972	-1.1262176036834717	-0.61073583	No	
row_40	PPP2CA	10979	-1.1322259902954102	-0.6068583	No	
row_41	CDC23	11157	-1.2126121520996094	-0.61441743	No	
row_42	NUP37	11160	-1.2127366065979004	-0.6099602	No	
row_43	PPP2R5E	11506	-1.3869878053665161	-0.628394	No	
row_44	NUP43	11566	-1.4238897562026978	-0.6270506	No	
row_45	NUDC	11746	-1.5028775930404663	-0.6336474	No	
row_46	CENPH	12009	-1.6705902814865112	-0.6453078	No	
row_47	DSN1	12018	-1.6740033626556396	-0.6395149	No	
row_48	CKAP5	12102	-1.7267714738845825	-0.6386719	No	
row_49	MAD1L1	12452	-1.9690155982971191	-0.65517527	No	
row_50	ITGB3BP	12608	-2.07639217376709	-0.65795135	Yes	
row_51	ANAPC15	12618	-2.0840084552764893	-0.65067387	Yes	
row_52	NDE1	12749	-2.1927342414855957	-0.6512926	Yes	
row_53	PPP2R1B	12868	-2.2785732746124268	-0.6507622	Yes	
row_54	CENPP	12908	-2.303586959838867	-0.6447127	Yes	
row_55	PPP2R1A	12937	-2.339176654815674	-0.6377731	Yes	
row_56	RANBP2	12976	-2.3679447174072266	-0.6314111	Yes	
row_57	CDC27	13056	-2.4339241981506348	-0.62761426	Yes	
row_58	ANAPC1	13104	-2.476170778274536	-0.6214602	Yes	
row_59	NUP85	13128	-2.4879255294799805	-0.6136137	Yes	
row_60	MAPRE1	13213	-2.5614302158355713	-0.60967714	Yes	
row_61	TAOK1	13393	-2.7209362983703613	-0.6116592	Yes	
row_62	BUB3	13396	-2.7269675731658936	-0.60146517	Yes	
row_63	PPP1CC	13401	-2.736337184906006	-0.59137297	Yes	
row_64	CENPL	13565	-2.9106953144073486	-0.5915375	Yes	
row_65	CLASP2	13578	-2.9258313179016113	-0.58127666	Yes	
row_66	SPC25	13663	-3.0490739345550537	-0.5754926	Yes	
row_67	NUP107	13701	-3.108997344970703	-0.56625444	Yes	
row_68	CENPU	13799	-3.257465124130249	-0.56057346	Yes	
row_69	CENPM	13824	-3.2954530715942383	-0.54973626	Yes	
row_70	SGO1	13874	-3.3820817470550537	-0.5402874	Yes	
row_71	XPO1	13930	-3.492774486541748	-0.5308311	Yes	
row_72	AHCTF1	14001	-3.6170849800109863	-0.52193385	Yes	
row_73	CENPO	14019	-3.655106782913208	-0.5092534	Yes	
row_74	DYNLL1	14021	-3.659337282180786	-0.49545833	Yes	
row_75	NUF2	14032	-3.6863019466400146	-0.48217905	Yes	
row_76	CENPF	14040	-3.6996984481811523	-0.46864304	Yes	
row_77	KNTC1	14053	-3.717740535736084	-0.455382	Yes	
row_78	RANGAP1	14055	-3.7211098670959473	-0.4413529	Yes	
row_79	SPC24	14082	-3.772278308868408	-0.4288465	Yes	
row_80	CENPA	14111	-3.818904161453247	-0.4163008	Yes	
row_81	AURKB	14117	-3.8404736518859863	-0.40209413	Yes	
row_82	INCENP	14142	-3.902808666229248	-0.38895586	Yes	
row_83	SKA1	14195	-4.037662506103516	-0.37722927	Yes	
row_84	CENPK	14210	-4.059407711029053	-0.36281112	Yes	
row_85	SGO2	14222	-4.097604751586914	-0.34804225	Yes	
row_86	BUB1	14227	-4.114140510559082	-0.3327301	Yes	
row_87	KIF2C	14230	-4.118091583251953	-0.31726566	Yes	
row_88	ZWINT	14242	-4.147773265838623	-0.30230674	Yes	
row_89	BUB1B	14259	-4.18538761138916	-0.2875486	Yes	
row_90	KNL1	14262	-4.192275524139404	-0.2718031	Yes	
row_91	SPDL1	14274	-4.2303032875061035	-0.2565315	Yes	
row_92	CENPI	14280	-4.256800174713135	-0.24074756	Yes	
row_93	ERCC6L	14294	-4.30037784576416	-0.2253478	Yes	
row_94	CENPN	14305	-4.335566520690918	-0.20960873	Yes	
row_95	MAD2L1	14319	-4.364737510681152	-0.19396514	Yes	
row_96	SKA2	14357	-4.470288276672363	-0.17956956	Yes	
row_97	CDCA8	14398	-4.60060977935791	-0.16488622	Yes	
row_98	UBE2S	14429	-4.723684787750244	-0.14905	Yes	
row_99	UBE2C	14444	-4.819329261779785	-0.1317528	Yes	
row_100	KIF18A	14460	-4.878007888793945	-0.11430196	Yes	
row_101	BIRC5	14475	-4.920009613037109	-0.09662333	Yes	
row_102	NDC80	14480	-4.943078517913818	-0.07817068	Yes	
row_103	ZWILCH	14516	-5.159346103668213	-0.06102721	Yes	
row_104	CDC20	14561	-5.399912357330322	-0.0435903	Yes	
row_105	PLK1	14635	-6.4731526374816895	-0.024078531	Yes	
row_106	CENPE	14655	-6.971699237823486	0.0010297972	Yes	
