NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SIRT7	102	5.680637359619141	0.007212474	No	
row_1	CHMP1B	488	3.791710376739502	-0.009811623	No	
row_2	CHMP4C	578	3.6101508140563965	-0.0068939687	No	
row_3	MISP	682	3.3995158672332764	-0.005469087	No	
row_4	CHMP2A	764	3.263272285461426	-0.002869776	No	
row_5	KIF3B	802	3.199963331222534	0.0026027951	No	
row_6	BOD1	953	2.993666410446167	-2.284715E-4	No	
row_7	CHMP5	1177	2.7352237701416016	-0.008737964	No	
row_8	KLHDC8B	1356	2.5477490425109863	-0.014616566	No	
row_9	ABRAXAS1	1386	2.5187721252441406	-0.010300447	No	
row_10	KIFC2	1484	2.427767276763916	-0.010898251	No	
row_11	MIS12	1684	2.22322416305542	-0.019037504	No	
row_12	OFD1	2071	1.8930983543395996	-0.040890258	No	
row_13	RNF212	2189	1.7968716621398926	-0.04444786	No	
row_14	TRAPPC12	2212	1.7810626029968262	-0.04149879	No	
row_15	CHMP7	2507	1.6126998662948608	-0.057714913	No	
row_16	AKAP8L	2566	1.574450135231018	-0.05776452	No	
row_17	BECN1	2759	1.4456658363342285	-0.06737072	No	
row_18	MAP1S	2770	1.4392846822738647	-0.064451575	No	
row_19	CHMP1A	3358	1.1416529417037964	-0.10203878	No	
row_20	CHMP4B	3436	1.097801685333252	-0.104592584	No	
row_21	DCTN2	3676	0.9834949970245361	-0.11859613	No	
row_22	AURKC	3713	0.9667951464653015	-0.11865312	No	
row_23	CCNB1IP1	4147	0.7718151807785034	-0.14655559	No	
row_24	VPS4B	4423	0.6667286157608032	-0.16383396	No	
row_25	GOLGA2	4677	0.5820404291152954	-0.17980865	No	
row_26	WRAP73	4716	0.5679590106010437	-0.18100332	No	
row_27	TUBG2	4961	0.4828641414642334	-0.19660647	No	
row_28	ABRAXAS2	5284	0.38026437163352966	-0.2178417	No	
row_29	MAP10	5619	0.29520294070243835	-0.24011707	No	
row_30	ZCWPW1	5668	0.28307121992111206	-0.24271503	No	
row_31	PDCD6IP	5735	0.267487496137619	-0.24659242	No	
row_32	CHMP4A	5843	0.2368091344833374	-0.25337195	No	
row_33	VPS4A	5995	0.2031567096710205	-0.26326782	No	
row_34	KMT5A	6063	0.19070293009281158	-0.2674066	No	
row_35	BAG6	6167	0.1694745123386383	-0.27407932	No	
row_36	PHF13	6253	0.15199685096740723	-0.2795555	No	
row_37	CHMP2B	6330	0.13496741652488708	-0.28445417	No	
row_38	PMF1	6400	0.1174028292298317	-0.28891453	No	
row_39	EML3	6558	0.08137911558151245	-0.29952917	No	
row_40	CLASP1	7110	-0.01384170725941658	-0.33746302	No	
row_41	GEM	7137	-0.0179903544485569	-0.33920956	No	
row_42	RHOA	7291	-0.041897453367710114	-0.34964752	No	
row_43	CHMP6	7327	-0.04774827882647514	-0.35193962	No	
row_44	CHMP3	7674	-0.10558244585990906	-0.37551725	No	
row_45	SPICE1	7967	-0.17033423483371735	-0.39521152	No	
row_46	CCDC61	8178	-0.21918506920337677	-0.4091328	No	
row_47	INO80	8319	-0.25190237164497375	-0.4181485	No	
row_48	RMDN1	8375	-0.2630312740802765	-0.42127904	No	
row_49	MSH5	8478	-0.2840045988559723	-0.42759573	No	
row_50	PIBF1	8497	-0.28742554783821106	-0.42811552	No	
row_51	PINX1	8680	-0.3310525417327881	-0.43982694	No	
row_52	DIS3L2	8853	-0.38202136754989624	-0.45072147	No	
row_53	TTN	9141	-0.4651281237602234	-0.46933216	No	
row_54	ZW10	9608	-0.5987933278083801	-0.49994236	No	
row_55	CENPC	9776	-0.6510955691337585	-0.5098178	No	
row_56	NSL1	10056	-0.7522563338279724	-0.52715737	No	
row_57	KLHL22	10198	-0.8025369644165039	-0.53486156	No	
row_58	NCAPH2	10412	-0.8871610164642334	-0.547315	No	
row_59	CENPQ	10505	-0.9283280968666077	-0.5513273	No	
row_60	CHAMP1	10553	-0.9511122107505798	-0.5521816	No	
row_61	LSM14A	10589	-0.9641602039337158	-0.5521763	No	
row_62	MAP9	10669	-0.9962561726570129	-0.5551225	No	
row_63	KIF2A	10683	-0.9999837875366211	-0.5535114	No	
row_64	DDB1	10731	-1.0192004442214966	-0.554195	No	
row_65	AAAS	10763	-1.0310819149017334	-0.5537462	No	
row_66	RANGRF	10785	-1.0410189628601074	-0.5525835	No	
row_67	DCAF13	10804	-1.048304557800293	-0.5511958	No	
row_68	RAB11A	10838	-1.0640462636947632	-0.5508023	No	
row_69	PTEN	10847	-1.0673335790634155	-0.5486778	No	
row_70	CDC23	11157	-1.2126121520996094	-0.56693053	No	
row_71	STAG2	11365	-1.3159948587417603	-0.57789546	No	
row_72	NUP62	11402	-1.3373687267303467	-0.5770234	No	
row_73	ZNF207	11525	-1.3972949981689453	-0.5819273	No	
row_74	TENT4A	11567	-1.424216628074646	-0.58118206	No	
row_75	LATS1	11688	-1.4770009517669678	-0.5857483	No	
row_76	NUDC	11746	-1.5028775930404663	-0.5859084	No	
row_77	CHEK2	11881	-1.5893770456314087	-0.5911577	No	
row_78	MND1	11996	-1.6640512943267822	-0.59484154	No	
row_79	DSN1	12018	-1.6740033626556396	-0.5920919	No	
row_80	EML4	12060	-1.6994612216949463	-0.5906567	No	
row_81	WAPL	12324	-1.87734055519104	-0.6040732	No	
row_82	P3H4	12416	-1.9461196660995483	-0.60546505	No	
row_83	MAD1L1	12452	-1.9690155982971191	-0.60294056	No	
row_84	CEP192	12541	-2.0277884006500244	-0.60392094	No	
row_85	BCCIP	12575	-2.0519680976867676	-0.60105073	No	
row_86	RB1	12646	-2.100318193435669	-0.6006089	No	
row_87	SMC3	12710	-2.1576645374298096	-0.59954095	No	
row_88	KPNB1	12737	-2.1796443462371826	-0.5958683	No	
row_89	STAG1	13024	-2.404641628265381	-0.6095478	No	
row_90	CUL3	13144	-2.5047643184661865	-0.61146855	No	
row_91	MAPRE1	13213	-2.5614302158355713	-0.6097329	No	
row_92	BUB3	13396	-2.7269675731658936	-0.61543787	Yes	
row_93	RAN	13416	-2.7494282722473145	-0.6098544	Yes	
row_94	NCAPD2	13424	-2.757023572921753	-0.603425	Yes	
row_95	RRS1	13452	-2.792339324951172	-0.59828526	Yes	
row_96	SEH1L	13550	-2.8976032733917236	-0.5977052	Yes	
row_97	CLASP2	13578	-2.9258313179016113	-0.5922308	Yes	
row_98	ESPL1	13650	-3.034376621246338	-0.5895162	Yes	
row_99	SPC25	13663	-3.0490739345550537	-0.5826992	Yes	
row_100	SMC1A	13679	-3.0732502937316895	-0.5760283	Yes	
row_101	FLNA	13683	-3.0811264514923096	-0.5685108	Yes	
row_102	KIF18B	13756	-3.195539712905884	-0.5654611	Yes	
row_103	CDT1	13848	-3.3300797939300537	-0.5633834	Yes	
row_104	TUBG1	13867	-3.3655083179473877	-0.5561865	Yes	
row_105	SGO1	13874	-3.3820817470550537	-0.5481212	Yes	
row_106	MZT1	13880	-3.3938071727752686	-0.53995764	Yes	
row_107	ARHGEF10	13913	-3.4533333778381348	-0.5335053	Yes	
row_108	KNSTRN	13914	-3.4543163776397705	-0.5248455	Yes	
row_109	PSRC1	13954	-3.535795211791992	-0.51866883	Yes	
row_110	SPAG5	14030	-3.6785268783569336	-0.514615	Yes	
row_111	NUF2	14032	-3.6863019466400146	-0.5054425	Yes	
row_112	CENPF	14040	-3.6996984481811523	-0.49664986	Yes	
row_113	KNTC1	14053	-3.717740535736084	-0.48815653	Yes	
row_114	PSMC3IP	14065	-3.7454113960266113	-0.47952494	Yes	
row_115	SPC24	14082	-3.772278308868408	-0.4711705	Yes	
row_116	AURKB	14117	-3.8404736518859863	-0.4638855	Yes	
row_117	INCENP	14142	-3.902808666229248	-0.45575508	Yes	
row_118	PTTG1	14146	-3.9194247722625732	-0.44613597	Yes	
row_119	CDCA5	14154	-3.926619052886963	-0.43677443	Yes	
row_120	NUSAP1	14177	-3.9777774810791016	-0.4283183	Yes	
row_121	SKA1	14195	-4.037662506103516	-0.41936746	Yes	
row_122	CENPK	14210	-4.059407711029053	-0.41015542	Yes	
row_123	NCAPG2	14226	-4.108434677124023	-0.40088934	Yes	
row_124	KIF2C	14230	-4.118091583251953	-0.39077216	Yes	
row_125	ZWINT	14242	-4.147773265838623	-0.38113186	Yes	
row_126	KIF22	14255	-4.174521446228027	-0.3714934	Yes	
row_127	KNL1	14262	-4.192275524139404	-0.36139697	Yes	
row_128	SPDL1	14274	-4.2303032875061035	-0.35154974	Yes	
row_129	TOP2B	14277	-4.25272274017334	-0.34102616	Yes	
row_130	CENPI	14280	-4.256800174713135	-0.33049235	Yes	
row_131	KIFC1	14316	-4.3611626625061035	-0.32197088	Yes	
row_132	TOP2A	14336	-4.396031379699707	-0.31225947	Yes	
row_133	CEP55	14345	-4.439138889312744	-0.30168197	Yes	
row_134	SKA2	14357	-4.470288276672363	-0.29123312	Yes	
row_135	FANCD2	14364	-4.497311592102051	-0.280372	Yes	
row_136	NCAPH	14365	-4.504103183746338	-0.26908037	Yes	
row_137	KIF4A	14377	-4.534234046936035	-0.25847122	Yes	
row_138	DLGAP5	14380	-4.538161754608154	-0.24723203	Yes	
row_139	CDCA8	14398	-4.60060977935791	-0.23686992	Yes	
row_140	CCNB1	14425	-4.713579177856445	-0.22684479	Yes	
row_141	KIF11	14439	-4.784952163696289	-0.2157449	Yes	
row_142	NCAPD3	14459	-4.875181674957275	-0.20483227	Yes	
row_143	KIF18A	14460	-4.878007888793945	-0.19260329	Yes	
