NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUDT16	263	4.584936618804932	-0.007693445	No	
row_1	DDRGK1	282	4.506581783294678	0.0013437629	No	
row_2	CDC14B	740	3.2954883575439453	-0.022680387	No	
row_3	INSR	805	3.1940274238586426	-0.019811943	No	
row_4	EGF	861	3.1014950275421143	-0.016533405	No	
row_5	PLCG2	923	3.037276268005371	-0.013815456	No	
row_6	LRP5	958	2.986072540283203	-0.009350821	No	
row_7	USP19	964	2.9790542125701904	-0.0029006775	No	
row_8	EGFR	1086	2.8362388610839844	-0.0047823694	No	
row_9	SIRT2	1537	2.3678927421569824	-0.030439243	No	
row_10	NPM2	1734	2.1682190895080566	-0.03902103	No	
row_11	BTC	1810	2.1050169467926025	-0.03939582	No	
row_12	PPP1R35	1835	2.0841357707977295	-0.036298327	No	
row_13	EREG	2030	1.9210153818130493	-0.045305952	No	
row_14	PLSCR1	2053	1.9076520204544067	-0.042472985	No	
row_15	EXOC7	2124	1.8465245962142944	-0.043092307	No	
row_16	PRKCE	2247	1.7643336057662964	-0.047488037	No	
row_17	KAT5	2270	1.748974084854126	-0.045017015	No	
row_18	NSFL1C	2433	1.6534003019332886	-0.0524265	No	
row_19	BECN1	2759	1.4456658363342285	-0.07155974	No	
row_20	UBXN2B	2899	1.375731348991394	-0.07801518	No	
row_21	CDC16	3073	1.2753393650054932	-0.08704621	No	
row_22	ADAM17	3127	1.2487765550613403	-0.087855704	No	
row_23	MACROH2A1	3289	1.173575758934021	-0.09629065	No	
row_24	MAD2L1BP	3383	1.130584478378296	-0.100130446	No	
row_25	UBE2E2	3385	1.1296859979629517	-0.09762264	No	
row_26	AURKC	3713	0.9667951464653015	-0.117986225	No	
row_27	AKT1	3934	0.8576396107673645	-0.13121387	No	
row_28	EPGN	4024	0.8211326599121094	-0.13548346	No	
row_29	CEP120	4049	0.8084408044815063	-0.13529584	No	
row_30	PLCB1	4253	0.726304829120636	-0.14764977	No	
row_31	ARF6	4292	0.7147529125213623	-0.1486421	No	
row_32	VPS4B	4423	0.6667286157608032	-0.1560936	No	
row_33	MBLAC1	4560	0.6228558421134949	-0.1640593	No	
