NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AARS1	47	6.617654800415039	0.044595476	Yes	
row_1	RPL12	283	4.5034918785095215	0.06103207	Yes	
row_2	RPS27	438	3.8919456005096436	0.07860052	Yes	
row_3	RACK1	605	3.5573363304138184	0.09292891	Yes	
row_4	RPL10	643	3.4771430492401123	0.11551772	Yes	
row_5	RPL31	862	3.1007204055786133	0.12298346	Yes	
row_6	RPS18	904	3.0614845752716064	0.14229481	Yes	
row_7	RPL37A	1007	2.9234232902526855	0.1564285	Yes	
row_8	RPS4X	1132	2.7798240184783936	0.16801703	Yes	
row_9	RPL18	1136	2.776134967803955	0.18787056	Yes	
row_10	RPS12	1153	2.759770631790161	0.206715	Yes	
row_11	RPL28	1214	2.6881721019744873	0.22202696	Yes	
row_12	RPL41	1232	2.6747870445251465	0.24018882	Yes	
row_13	RPL14	1261	2.6477246284484863	0.25740138	Yes	
row_14	RPS8	1289	2.614971160888672	0.27444577	Yes	
row_15	RPS29	1297	2.6059622764587402	0.2927956	Yes	
row_16	RPS24	1329	2.5734517574310303	0.3092659	Yes	
row_17	RPL13A	1338	2.5647242069244385	0.32724923	Yes	
row_18	RPS3A	1343	2.55643892288208	0.3454468	Yes	
row_19	RPL26	1355	2.5480008125305176	0.36310372	Yes	
row_20	RPL13	1392	2.514160633087158	0.37880298	Yes	
row_21	RPL36	1396	2.507338285446167	0.3967143	Yes	
row_22	RPL19	1521	2.3833351135253906	0.40543798	Yes	
row_23	RPL24	1553	2.3535842895507812	0.42031962	Yes	
row_24	RPL29	1556	2.350979804992676	0.4371697	Yes	
row_25	RPL37	1607	2.297940969467163	0.45034727	Yes	
row_26	RPL32	1646	2.2702717781066895	0.46414727	Yes	
row_27	RPL30	1696	2.203895092010498	0.47671384	Yes	
row_28	RPLP0	1697	2.2038843631744385	0.4926381	Yes	
row_29	RPS13	1712	2.189042806625366	0.50749576	Yes	
row_30	RPL23A	1878	2.0451388359069824	0.51096624	Yes	
row_31	UBA52	1914	2.0126311779022217	0.5231102	Yes	
row_32	RPS25	1940	1.993129014968872	0.5357985	Yes	
row_33	RPS20	1980	1.9581778049468994	0.5472749	Yes	
row_34	RPS6	2107	1.8630788326263428	0.5521024	Yes	
row_35	RPS15A	2156	1.820749282836914	0.56196904	Yes	
row_36	RPL27A	2218	1.7797462940216064	0.5706486	Yes	
row_37	RPS23	2295	1.732102870941162	0.577956	Yes	
row_38	RPL27	2418	1.6618049144744873	0.58160335	Yes	
row_39	RPL35A	2426	1.6557366847991943	0.59308726	Yes	
row_40	RPL34	2449	1.643592119216919	0.60345554	Yes	
row_41	RPS28	2471	1.6342782974243164	0.6138251	Yes	
row_42	RPS11	2577	1.5678331851959229	0.6179583	Yes	
row_43	RPLP2	2587	1.5620769262313843	0.62862843	Yes	
row_44	RPL18A	2600	1.5565602779388428	0.6390531	Yes	
row_45	RPL11	2746	1.451889991760254	0.63960755	Yes	
row_46	RPL7	2795	1.4316664934158325	0.6466629	Yes	
row_47	RPS19	2796	1.4311678409576416	0.6570038	Yes	
row_48	RPL38	2981	1.3235340118408203	0.6539583	Yes	
row_49	RPL10A	3029	1.2980941534042358	0.66011703	Yes	
row_50	FAU	3062	1.280510663986206	0.6671766	Yes	
row_51	RPL8	3338	1.1466424465179443	0.6566171	Yes	
row_52	RPL3	3423	1.1088474988937378	0.6588729	Yes	
row_53	RPL21	3471	1.0838745832443237	0.6634838	Yes	
row_54	RPL39	3680	0.9820305705070496	0.6563261	Yes	
row_55	RPL4	3689	0.9779179692268372	0.6628439	Yes	
row_56	RPS5	3773	0.9335309863090515	0.6639015	Yes	
row_57	RPS14	3802	0.9170337319374084	0.66860884	Yes	
row_58	RPS15	4032	0.8169402480125427	0.65881926	No	
row_59	RPS2	4056	0.8062624335289001	0.66306883	No	
row_60	RPS9	4194	0.7507279515266418	0.6591052	No	
row_61	RPS3	4237	0.7327690124511719	0.66152173	No	
row_62	RPS21	4310	0.7084954380989075	0.66170716	No	
row_63	RPLP1	4354	0.6906866431236267	0.6637511	No	
row_64	RPS7	4735	0.5612602233886719	0.64176667	No	
row_65	RPL7A	4860	0.5120765566825867	0.63696945	No	
row_66	RPS16	4932	0.49097907543182373	0.6356517	No	
row_67	RPL17	5111	0.43171927332878113	0.6265735	No	
row_68	RPL36A	5643	0.2884390652179718	0.5922703	No	
row_69	RPL23	5921	0.21842336654663086	0.57486683	No	
row_70	RPL35	5974	0.20729567110538483	0.57280135	No	
row_71	RPL15	6114	0.18006597459316254	0.5645773	No	
row_72	RPL6	6204	0.1626666933298111	0.5596538	No	
row_73	RPSA	6225	0.15899424254894257	0.55943215	No	
row_74	RPL5	6379	0.12221367657184601	0.54983073	No	
row_75	RPL22	9351	-0.5241656303405762	0.35002735	No	
row_76	RPS10	10269	-0.822978675365448	0.29313546	No	
row_77	RPS26	11034	-1.1596465110778809	0.24916069	No	
