NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL12	283	4.5034918785095215	0.014345181	Yes	
row_1	RPS27	438	3.8919456005096436	0.0329488	Yes	
row_2	RACK1	605	3.5573363304138184	0.048223373	Yes	
row_3	RPL10	643	3.4771430492401123	0.07173703	Yes	
row_4	RPL31	862	3.1007204055786133	0.0800275	Yes	
row_5	RPS18	904	3.0614845752716064	0.10015313	Yes	
row_6	RPL37A	1007	2.9234232902526855	0.11506439	Yes	
row_7	RPS4X	1132	2.7798240184783936	0.12739229	Yes	
row_8	RPL18	1136	2.776134967803955	0.14798422	Yes	
row_9	RPS12	1153	2.759770631790161	0.1675627	Yes	
row_10	RPL28	1214	2.6881721019744873	0.18358965	Yes	
row_11	RPL41	1232	2.6747870445251465	0.20246296	Yes	
row_12	RPL14	1261	2.6477246284484863	0.22037974	Yes	
row_13	RPS8	1289	2.614971160888672	0.23811968	Yes	
row_14	RPS29	1297	2.6059622764587402	0.25716263	Yes	
row_15	RPS24	1329	2.5734517574310303	0.2743174	Yes	
row_16	RPL13A	1338	2.5647242069244385	0.2929829	Yes	
row_17	RPS3A	1343	2.55643892288208	0.31186044	Yes	
row_18	RPL26	1355	2.5480008125305176	0.33019507	Yes	
row_19	RPL13	1392	2.514160633087158	0.34656304	Yes	
row_20	RPL36	1396	2.507338285446167	0.36514127	Yes	
row_21	RPL19	1521	2.3833351135253906	0.37449887	Yes	
row_22	RPL24	1553	2.3535842895507812	0.3900065	Yes	
row_23	RPL29	1556	2.350979804992676	0.40748188	Yes	
row_24	RPL37	1607	2.297940969467163	0.42127067	Yes	
row_25	RPL32	1646	2.2702717781066895	0.4356745	Yes	
row_26	RPL30	1696	2.203895092010498	0.44882727	Yes	
row_27	RPLP0	1697	2.2038843631744385	0.46533772	Yes	
row_28	RPS13	1712	2.189042806625366	0.48077765	Yes	
row_29	RPL23A	1878	2.0451388359069824	0.48479208	Yes	
row_30	UBA52	1914	2.0126311779022217	0.49747136	Yes	
row_31	RPS25	1940	1.993129014968872	0.5106898	Yes	
row_32	RPS20	1980	1.9581778049468994	0.522687	Yes	
row_33	RPS6	2107	1.8630788326263428	0.5280101	Yes	
row_34	RPS15A	2156	1.820749282836914	0.538361	Yes	
row_35	RPL27A	2218	1.7797462940216064	0.5475139	Yes	
row_36	RPS23	2295	1.732102870941162	0.55528206	Yes	
row_37	LARS1	2358	1.7039545774459839	0.56379867	Yes	
row_38	RPL27	2418	1.6618049144744873	0.57220507	Yes	
row_39	RPL35A	2426	1.6557366847991943	0.5841294	Yes	
row_40	RPL34	2449	1.643592119216919	0.5949349	Yes	
row_41	RPS28	2471	1.6342782974243164	0.60573906	Yes	
row_42	RPS11	2577	1.5678331851959229	0.6102893	Yes	
row_43	RPLP2	2587	1.5620769262313843	0.6213749	Yes	
row_44	RPL18A	2600	1.5565602779388428	0.6322136	Yes	
row_45	RPL11	2746	1.451889991760254	0.6331542	Yes	
row_46	RPL7	2795	1.4316664934158325	0.6405903	Yes	
row_47	RPS19	2796	1.4311678409576416	0.651312	Yes	
row_48	RPL38	2981	1.3235340118408203	0.64861846	Yes	
row_49	RPL10A	3029	1.2980941534042358	0.65512246	Yes	
row_50	FAU	3062	1.280510663986206	0.6625226	Yes	
row_51	RPL8	3338	1.1466424465179443	0.65226805	Yes	
row_52	RPL3	3423	1.1088474988937378	0.65481883	Yes	
row_53	RPL21	3471	1.0838745832443237	0.659718	Yes	
row_54	RPL39	3680	0.9820305705070496	0.6528215	Yes	
row_55	RPL4	3689	0.9779179692268372	0.6595994	Yes	
row_56	RPS5	3773	0.9335309863090515	0.6609053	Yes	
row_57	RPS14	3802	0.9170337319374084	0.66585654	Yes	
row_58	RPS15	4032	0.8169402480125427	0.6562843	No	
row_59	RPS2	4056	0.8062624335289001	0.6607483	No	
row_60	RPS9	4194	0.7507279515266418	0.6569843	No	
row_61	RPS3	4237	0.7327690124511719	0.6595958	No	
row_62	RPS21	4310	0.7084954380989075	0.6599696	No	
row_63	RPLP1	4354	0.6906866431236267	0.6621973	No	
row_64	RPS7	4735	0.5612602233886719	0.64036214	No	
row_65	RPL7A	4860	0.5120765566825867	0.6357011	No	
row_66	RPS16	4932	0.49097907543182373	0.634514	No	
row_67	RPL17	5111	0.43171927332878113	0.62555057	No	
row_68	RPL36A	5643	0.2884390652179718	0.59132415	No	
row_69	RPL23	5921	0.21842336654663086	0.5739788	No	
row_70	RPL35	5974	0.20729567110538483	0.5719684	No	
row_71	RPL15	6114	0.18006597459316254	0.5637922	No	
row_72	RPL6	6204	0.1626666933298111	0.55891204	No	
row_73	RPSA	6225	0.15899424254894257	0.5587326	No	
row_74	RPL5	6379	0.12221367657184601	0.5491637	No	
row_75	RPL22	9351	-0.5241656303405762	0.34949976	No	
row_76	RPS10	10269	-0.822978675365448	0.29282677	No	
row_77	RPS26	11034	-1.1596465110778809	0.24916044	No	
