NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL12	283	4.5034918785095215	0.014684663	Yes	
row_1	RPS27	438	3.8919456005096436	0.033581663	Yes	
row_2	RACK1	605	3.5573363304138184	0.049124394	Yes	
row_3	RPL10	643	3.4771430492401123	0.07290016	Yes	
row_4	RPL31	862	3.1007204055786133	0.08142437	Yes	
row_5	RPS18	904	3.0614845752716064	0.10178079	Yes	
row_6	RPL37A	1007	2.9234232902526855	0.11691242	Yes	
row_7	RPS4X	1132	2.7798240184783936	0.12944987	Yes	
row_8	RPL18	1136	2.776134967803955	0.15025106	Yes	
row_9	RPS12	1153	2.759770631790161	0.17003758	Yes	
row_10	RPL28	1214	2.6881721019744873	0.18626718	Yes	
row_11	RPL41	1232	2.6747870445251465	0.20534211	Yes	
row_12	RPL14	1261	2.6477246284484863	0.22345848	Yes	
row_13	RPS8	1289	2.614971160888672	0.24139553	Yes	
row_14	RPS29	1297	2.6059622764587402	0.26063493	Yes	
row_15	RPS24	1329	2.5734517574310303	0.2779837	Yes	
row_16	RPL13A	1338	2.5647242069244385	0.29684255	Yes	
row_17	RPS3A	1343	2.55643892288208	0.31591278	Yes	
row_18	RPL26	1355	2.5480008125305176	0.3344395	Yes	
row_19	RPL13	1392	2.514160633087158	0.35099697	Yes	
row_20	RPL36	1396	2.507338285446167	0.3697642	Yes	
row_21	RPL19	1521	2.3833351135253906	0.37930146	Yes	
row_22	RPL24	1553	2.3535842895507812	0.3949865	Yes	
row_23	RPL29	1556	2.350979804992676	0.4126391	Yes	
row_24	RPL37	1607	2.297940969467163	0.42660114	Yes	
row_25	RPL32	1646	2.2702717781066895	0.4411761	Yes	
row_26	RPL30	1696	2.203895092010498	0.454495	Yes	
row_27	RPLP0	1697	2.2038843631744385	0.4711716	Yes	
row_28	RPS13	1712	2.189042806625366	0.48677653	Yes	
row_29	RPL23A	1878	2.0451388359069824	0.4909451	Yes	
row_30	UBA52	1914	2.0126311779022217	0.50377613	Yes	
row_31	RPS25	1940	1.993129014968872	0.5171448	Yes	
row_32	RPS20	1980	1.9581778049468994	0.5292896	Yes	
row_33	RPS6	2107	1.8630788326263428	0.5347531	Yes	
row_34	RPS15A	2156	1.820749282836914	0.5452413	Yes	
row_35	RPL27A	2218	1.7797462940216064	0.5545284	Yes	
row_36	RPS23	2295	1.732102870941162	0.5624271	Yes	
row_37	RPL27	2418	1.6618049144744873	0.5666416	Yes	
row_38	RPL35A	2426	1.6557366847991943	0.57869077	Yes	
row_39	RPL34	2449	1.643592119216919	0.5896201	Yes	
row_40	RPS28	2471	1.6342782974243164	0.6005475	Yes	
row_41	RPS11	2577	1.5678331851959229	0.6052159	Yes	
row_42	RPLP2	2587	1.5620769262313843	0.6164193	Yes	
row_43	RPL18A	2600	1.5565602779388428	0.62737536	Yes	
row_44	RPL11	2746	1.451889991760254	0.62842536	Yes	
row_45	RPL7	2795	1.4316664934158325	0.63596946	Yes	
row_46	RPS19	2796	1.4311678409576416	0.64679897	Yes	
row_47	RPL38	2981	1.3235340118408203	0.6442052	Yes	
row_48	RPL10A	3029	1.2980941534042358	0.6508071	Yes	
row_49	FAU	3062	1.280510663986206	0.65830374	Yes	
row_50	RPL8	3338	1.1466424465179443	0.64813566	Yes	
row_51	RPL3	3423	1.1088474988937378	0.65077	Yes	
row_52	RPL21	3471	1.0838745832443237	0.6557509	Yes	
row_53	RPL39	3680	0.9820305705070496	0.6489284	Yes	
row_54	RPL4	3689	0.9779179692268372	0.65578	Yes	
row_55	RPS5	3773	0.9335309863090515	0.6571563	Yes	
row_56	RPS14	3802	0.9170337319374084	0.66217667	Yes	
row_57	RPS15	4032	0.8169402480125427	0.6526659	No	
row_58	RPS2	4056	0.8062624335289001	0.65719074	No	
row_59	RPS9	4194	0.7507279515266418	0.6534834	No	
row_60	RPS3	4237	0.7327690124511719	0.6561501	No	
row_61	RPS21	4310	0.7084954380989075	0.65657735	No	
row_62	RPLP1	4354	0.6906866431236267	0.6588571	No	
row_63	RPS7	4735	0.5612602233886719	0.6370642	No	
row_64	RPL7A	4860	0.5120765566825867	0.6324418	No	
row_65	RPS16	4932	0.49097907543182373	0.6312917	No	
row_66	RPL17	5111	0.43171927332878113	0.6223608	No	
row_67	KARS1	5305	0.37418127059936523	0.6119667	No	
row_68	RPL36A	5643	0.2884390652179718	0.59105605	No	
row_69	RPL23	5921	0.21842336654663086	0.57372713	No	
row_70	RPL35	5974	0.20729567110538483	0.57173234	No	
row_71	RPL15	6114	0.18006597459316254	0.5635698	No	
row_72	RPL6	6204	0.1626666933298111	0.5587019	No	
row_73	RPSA	6225	0.15899424254894257	0.55853444	No	
row_74	RPL5	6379	0.12221367657184601	0.54897475	No	
row_75	RPL22	9351	-0.5241656303405762	0.3493503	No	
row_76	RPS10	10269	-0.822978675365448	0.29273936	No	
row_77	RPS26	11034	-1.1596465110778809	0.24916044	No	
