NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LCMT1	1486	2.4237093925476074	-0.0940359	No	
row_1	SIRT2	1537	2.3678927421569824	-0.089583926	No	
row_2	BRD7	1634	2.2771613597869873	-0.08859504	No	
row_3	BCL7B	1685	2.222722053527832	-0.08462664	No	
row_4	PLSCR1	2053	1.9076520204544067	-0.10349022	No	
row_5	C9orf78	2066	1.8953514099121094	-0.09800118	No	
row_6	DPF2	2131	1.8425084352493286	-0.096261315	No	
row_7	KAT5	2270	1.748974084854126	-0.09991788	No	
row_8	CSNK2A1	2292	1.733453631401062	-0.09558657	No	
row_9	SMARCC2	2321	1.7191020250320435	-0.09178406	No	
row_10	RIOK2	2739	1.457809329032898	-0.11558183	No	
row_11	BECN1	2759	1.4456658363342285	-0.112071745	No	
row_12	CDC16	3073	1.2753393650054932	-0.12933105	No	
row_13	CSNK2A2	3160	1.2364774942398071	-0.13112165	No	
row_14	MAD2L1BP	3383	1.130584478378296	-0.14261013	No	
row_15	ANAPC2	3500	1.0718399286270142	-0.1470106	No	
row_16	IK	3700	0.9710507392883301	-0.15745008	No	
row_17	CHFR	3789	0.9240888953208923	-0.1604187	No	
row_18	NUMA1	5644	0.2878921627998352	-0.2868561	No	
row_19	HECW2	5888	0.2251640260219574	-0.30280367	No	
row_20	MAD2L2	6117	0.17951294779777527	-0.31787255	No	
row_21	ANAPC11	6344	0.13178838789463043	-0.332963	No	
row_22	CDK5RAP2	6870	0.026054957881569862	-0.36895126	No	
row_23	NSMCE2	7070	-0.007434647064656019	-0.38260064	No	
row_24	USP44	7436	-0.06443138420581818	-0.40746674	No	
row_25	SMARCA2	7558	-0.08498203754425049	-0.4154981	No	
row_26	SMARCD1	8146	-0.21154426038265228	-0.45512876	No	
row_27	SMARCD3	8174	-0.21845297515392303	-0.45625636	No	
row_28	SMARCB1	8587	-0.3093925714492798	-0.48353603	No	
row_29	RCC2	8817	-0.3742540180683136	-0.49802497	No	
row_30	SMARCD2	8819	-0.3756285011768341	-0.4968424	No	
row_31	KAT2B	8855	-0.38223764300346375	-0.49797413	No	
row_32	DYNC1LI1	9225	-0.485640287399292	-0.521712	No	
row_33	BCL7C	9552	-0.57893967628479	-0.5421844	No	
row_34	ZW10	9608	-0.5987933278083801	-0.54396904	No	
row_35	PUM2	10015	-0.7353402972221375	-0.5694176	No	
row_36	DUSP1	10074	-0.7591638565063477	-0.57087415	No	
row_37	PCID2	10114	-0.771877646446228	-0.5709828	No	
row_38	KLHL22	10198	-0.8025369644165039	-0.57401276	No	
row_39	NCAPH2	10412	-0.8871610164642334	-0.5856937	No	
row_40	ANAPC5	10527	-0.9390822052955627	-0.59039897	No	
row_41	ANAPC7	10604	-0.9700378179550171	-0.59238994	No	
row_42	RMI2	10606	-0.9705577492713928	-0.58922565	No	
row_43	HNRNPU	10613	-0.9757862091064453	-0.58638746	No	
row_44	ARID1A	10692	-1.0034438371658325	-0.5884046	No	
row_45	ATM	11015	-1.1491589546203613	-0.6067027	No	
row_46	BCL7A	11062	-1.1698787212371826	-0.60596657	No	
row_47	ARID1B	11070	-1.1735527515411377	-0.6025383	No	
row_48	APC	11080	-1.1788578033447266	-0.5992299	No	
row_49	CDC23	11157	-1.2126121520996094	-0.6004128	No	
row_50	PHF10	11313	-1.2878611087799072	-0.60677356	No	
row_51	ZNF207	11525	-1.3972949981689453	-0.61661774	No	
row_52	ACTL6A	11659	-1.4631212949752808	-0.6208829	No	
row_53	TPR	11669	-1.4694607257843018	-0.6166064	No	
row_54	PUM1	11710	-1.484659194946289	-0.61440945	No	
row_55	DPF1	11968	-1.6446657180786133	-0.6265905	No	
row_56	MAD1L1	12452	-1.9690155982971191	-0.65322053	No	
row_57	ANAPC15	12618	-2.0840084552764893	-0.6576163	Yes	
row_58	RB1	12646	-2.100318193435669	-0.65247524	Yes	
row_59	ACTB	12788	-2.2190704345703125	-0.65477204	Yes	
row_60	SMARCA4	12915	-2.3198399543762207	-0.6557024	Yes	
row_61	CDC27	13056	-2.4339241981506348	-0.65721476	Yes	
row_62	ANAPC1	13104	-2.476170778274536	-0.65219593	Yes	
row_63	PRPF4B	13136	-2.4931020736694336	-0.6460213	Yes	
row_64	CUL3	13144	-2.5047643184661865	-0.6381587	Yes	
row_65	SMARCC1	13277	-2.6106696128845215	-0.6385326	Yes	
row_66	NEK6	13300	-2.6356899738311768	-0.6312645	Yes	
row_67	SMC6	13383	-2.711507558822632	-0.6278668	Yes	
row_68	BUB3	13396	-2.7269675731658936	-0.61960757	Yes	
row_69	NCAPD2	13424	-2.757023572921753	-0.6122789	Yes	
row_70	FBXO5	13475	-2.81908917427063	-0.60632396	Yes	
row_71	ARID2	13545	-2.8863108158111572	-0.6014506	Yes	
row_72	ESPL1	13650	-3.034376621246338	-0.5984891	Yes	
row_73	SPC25	13663	-3.0490739345550537	-0.58915687	Yes	
row_74	PBRM1	13746	-3.1738827228546143	-0.5842189	Yes	
row_75	SMARCE1	13752	-3.1823933124542236	-0.5739616	Yes	
row_76	CDCA2	13772	-3.2104272842407227	-0.56457293	Yes	
row_77	XRCC3	13850	-3.335101842880249	-0.5587544	Yes	
row_78	RAD18	13895	-3.425537586212158	-0.55036694	Yes	
row_79	SMC5	13972	-3.568347454071045	-0.5437027	Yes	
row_80	HASPIN	13987	-3.591972589492798	-0.53269947	Yes	
row_81	NUF2	14032	-3.6863019466400146	-0.52344346	Yes	
row_82	CENPF	14040	-3.6996984481811523	-0.5116004	Yes	
row_83	KNTC1	14053	-3.717740535736084	-0.50004077	Yes	
row_84	DPF3	14063	-3.7385382652282715	-0.48820573	Yes	
row_85	SPC24	14082	-3.772278308868408	-0.47687677	Yes	
row_86	AURKB	14117	-3.8404736518859863	-0.46642002	Yes	
row_87	INCENP	14142	-3.902808666229248	-0.4550685	Yes	
row_88	NCAPG2	14226	-4.108434677124023	-0.4470862	Yes	
row_89	BUB1	14227	-4.114140510559082	-0.43338156	Yes	
row_90	KIF2C	14230	-4.118091583251953	-0.41980118	Yes	
row_91	ZWINT	14242	-4.147773265838623	-0.40674037	Yes	
row_92	TTK	14244	-4.148066520690918	-0.39299145	Yes	
row_93	BUB1B	14259	-4.18538761138916	-0.3800115	Yes	
row_94	KNL1	14262	-4.192275524139404	-0.36618403	Yes	
row_95	MAD2L1	14319	-4.364737510681152	-0.35549262	Yes	
row_96	NCAPH	14365	-4.504103183746338	-0.34358114	Yes	
row_97	TACC3	14367	-4.511338233947754	-0.3286221	Yes	
row_98	DLGAP5	14380	-4.538161754608154	-0.3143296	Yes	
row_99	CDCA8	14398	-4.60060977935791	-0.30017263	Yes	
row_100	CCNB1	14425	-4.713579177856445	-0.28625777	Yes	
row_101	CDK1	14443	-4.817045211791992	-0.27137983	Yes	
row_102	UBE2C	14444	-4.819329261779785	-0.25532615	Yes	
row_103	NCAPD3	14459	-4.875181674957275	-0.24004842	Yes	
row_104	BIRC5	14475	-4.920009613037109	-0.22469006	Yes	
row_105	NDC80	14480	-4.943078517913818	-0.20849901	Yes	
row_106	SMC2	14488	-4.976254463195801	-0.1924036	Yes	
row_107	MKI67	14490	-4.981418609619141	-0.17587869	Yes	
row_108	NCAPG	14493	-4.987353801727295	-0.15940273	Yes	
row_109	CDC6	14494	-4.989185810089111	-0.14278322	Yes	
row_110	GEN1	14514	-5.137742519378662	-0.12697445	Yes	
row_111	ZWILCH	14516	-5.159346103668213	-0.109856844	Yes	
row_112	CDC20	14561	-5.399912357330322	-0.094892606	Yes	
row_113	SMC4	14562	-5.4042582511901855	-0.07689046	Yes	
row_114	TRIP13	14581	-5.6104512214660645	-0.059438318	Yes	
row_115	MAP3K20	14622	-6.1726274490356445	-0.04162523	Yes	
row_116	PLK1	14635	-6.4731526374816895	-0.020887058	Yes	
row_117	CENPE	14655	-6.971699237823486	0.0010308246	Yes	
