NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LCMT1	1486	2.4237093925476074	-0.08902557	No	
row_1	PLSCR1	2053	1.9076520204544067	-0.11776179	No	
row_2	CSNK2A1	2292	1.733453631401062	-0.12495213	No	
row_3	CDC16	3073	1.2753393650054932	-0.17166509	No	
row_4	CSNK2A2	3160	1.2364774942398071	-0.17105775	No	
row_5	MAD2L1BP	3383	1.130584478378296	-0.18031994	No	
row_6	IK	3700	0.9710507392883301	-0.19685735	No	
row_7	CHFR	3789	0.9240888953208923	-0.19802828	No	
row_8	NUMA1	5644	0.2878921627998352	-0.3234759	No	
row_9	MAD2L2	6117	0.17951294779777527	-0.35485485	No	
row_10	ANAPC11	6344	0.13178838789463043	-0.36963868	No	
row_11	CDK5RAP2	6870	0.026054957881569862	-0.40545332	No	
row_12	NSMCE2	7070	-0.007434647064656019	-0.41904157	No	
row_13	USP44	7436	-0.06443138420581818	-0.44369793	No	
row_14	DYNC1LI1	9225	-0.485640287399292	-0.56358695	No	
row_15	ZW10	9608	-0.5987933278083801	-0.5865998	No	
row_16	DUSP1	10074	-0.7591638565063477	-0.6144539	No	
row_17	PCID2	10114	-0.771877646446228	-0.6130691	No	
row_18	KLHL22	10198	-0.8025369644165039	-0.6145363	No	
row_19	NCAPH2	10412	-0.8871610164642334	-0.6244611	No	
row_20	ANAPC5	10527	-0.9390822052955627	-0.6273337	No	
row_21	ANAPC7	10604	-0.9700378179550171	-0.62744147	No	
row_22	ATM	11015	-1.1491589546203613	-0.64948016	No	
row_23	APC	11080	-1.1788578033447266	-0.647669	No	
row_24	CDC23	11157	-1.2126121520996094	-0.64650226	No	
row_25	ZNF207	11525	-1.3972949981689453	-0.6642926	No	
row_26	TPR	11669	-1.4694607257843018	-0.66636443	No	
row_27	MAD1L1	12452	-1.9690155982971191	-0.70956975	No	
row_28	ANAPC15	12618	-2.0840084552764893	-0.7099193	No	
row_29	RB1	12646	-2.100318193435669	-0.700733	No	
row_30	PRPF4B	13136	-2.4931020736694336	-0.7211203	Yes	
row_31	CUL3	13144	-2.5047643184661865	-0.70843947	Yes	
row_32	BUB3	13396	-2.7269675731658936	-0.7113	Yes	
row_33	NCAPD2	13424	-2.757023572921753	-0.69866335	Yes	
row_34	FBXO5	13475	-2.81908917427063	-0.68727565	Yes	
row_35	ESPL1	13650	-3.034376621246338	-0.68324816	Yes	
row_36	SPC25	13663	-3.0490739345550537	-0.6680499	Yes	
row_37	XRCC3	13850	-3.335101842880249	-0.6632641	Yes	
row_38	HASPIN	13987	-3.591972589492798	-0.6537048	Yes	
row_39	NUF2	14032	-3.6863019466400146	-0.6373498	Yes	
row_40	CENPF	14040	-3.6996984481811523	-0.6183907	Yes	
row_41	KNTC1	14053	-3.717740535736084	-0.5996791	Yes	
row_42	SPC24	14082	-3.772278308868408	-0.58177674	Yes	
row_43	AURKB	14117	-3.8404736518859863	-0.56392694	Yes	
row_44	INCENP	14142	-3.902808666229248	-0.54506475	Yes	
row_45	NCAPG2	14226	-4.108434677124023	-0.5291625	Yes	
row_46	BUB1	14227	-4.114140510559082	-0.50754654	Yes	
row_47	ZWINT	14242	-4.147773265838623	-0.48671257	Yes	
row_48	TTK	14244	-4.148066520690918	-0.4649868	Yes	
row_49	BUB1B	14259	-4.18538761138916	-0.44395518	Yes	
row_50	KNL1	14262	-4.192275524139404	-0.42206565	Yes	
row_51	MAD2L1	14319	-4.364737510681152	-0.40296784	Yes	
row_52	NCAPH	14365	-4.504103183746338	-0.3823845	Yes	
row_53	DLGAP5	14380	-4.538161754608154	-0.3594994	Yes	
row_54	CDCA8	14398	-4.60060977935791	-0.3364916	Yes	
row_55	CCNB1	14425	-4.713579177856445	-0.3135066	Yes	
row_56	UBE2C	14444	-4.819329261779785	-0.28941813	Yes	
row_57	NCAPD3	14459	-4.875181674957275	-0.26476228	Yes	
row_58	BIRC5	14475	-4.920009613037109	-0.23993939	Yes	
row_59	NDC80	14480	-4.943078517913818	-0.21424203	Yes	
row_60	SMC2	14488	-4.976254463195801	-0.18857579	Yes	
row_61	NCAPG	14493	-4.987353801727295	-0.1626458	Yes	
row_62	GEN1	14514	-5.137742519378662	-0.13702132	Yes	
row_63	ZWILCH	14516	-5.159346103668213	-0.10998224	Yes	
row_64	CDC20	14561	-5.399912357330322	-0.0846238	Yes	
row_65	SMC4	14562	-5.4042582511901855	-0.056229446	Yes	
row_66	TRIP13	14581	-5.6104512214660645	-0.027984364	Yes	
row_67	PLK1	14635	-6.4731526374816895	0.0023966448	Yes	
