NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CAMSAP3	3442	1.0966475009918213	-0.22425838	No	
row_1	KAT7	3794	0.9210248589515686	-0.2390139	No	
row_2	BCL6	4383	0.6807847023010254	-0.27237666	No	
row_3	LIG3	4819	0.5300683379173279	-0.29679334	No	
row_4	WRNIP1	5601	0.29952728748321533	-0.34716994	No	
row_5	METTL4	6206	0.16242699325084686	-0.38682356	No	
row_6	WIZ	6742	0.04581373184919357	-0.42293042	No	
row_7	POLG2	7476	-0.07099423557519913	-0.4723177	No	
row_8	CHTF8	7858	-0.14635580778121948	-0.49689084	No	
row_9	INO80	8319	-0.25190237164497375	-0.52580523	No	
row_10	ENDOG	9901	-0.6981927752494812	-0.62686306	No	
row_11	NBN	10021	-0.737618625164032	-0.6276007	No	
row_12	SSBP1	10402	-0.8827165961265564	-0.64472246	No	
row_13	TIPIN	10497	-0.9256391525268555	-0.64186627	No	
row_14	DBF4B	10999	-1.1435970067977905	-0.6646424	No	
row_15	RFC4	11941	-1.6294254064559937	-0.71262044	No	
row_16	RFC2	12832	-2.2531206607818604	-0.7508593	Yes	
row_17	TIMELESS	13036	-2.415663003921509	-0.7405133	Yes	
row_18	RFC5	13146	-2.508453607559204	-0.7228123	Yes	
row_19	CDC7	13214	-2.562195301055908	-0.7017018	Yes	
row_20	FBXO5	13475	-2.81908917427063	-0.69120675	Yes	
row_21	MCM2	13476	-2.82017183303833	-0.66293037	Yes	
row_22	E2F7	13629	-3.0032057762145996	-0.64320767	Yes	
row_23	CDT1	13848	-3.3300797939300537	-0.62471855	Yes	
row_24	CHTF18	13910	-3.4515433311462402	-0.5942809	Yes	
row_25	PCNA	13974	-3.573845386505127	-0.56275374	Yes	
row_26	DYNLL1	14021	-3.659337282180786	-0.52920747	Yes	
row_27	DSCC1	14089	-3.779912233352661	-0.49588755	Yes	
row_28	TICRR	14090	-3.7801053524017334	-0.45798638	Yes	
row_29	MCM7	14123	-3.8484561443328857	-0.42158702	Yes	
row_30	MCM3	14131	-3.874992847442627	-0.3832129	Yes	
row_31	BLM	14234	-4.130884647369385	-0.34876615	Yes	
row_32	DBF4	14273	-4.228646755218506	-0.3089649	Yes	
row_33	RFC3	14320	-4.36696720123291	-0.2683236	Yes	
row_34	MCM6	14344	-4.434074401855469	-0.22543742	Yes	
row_35	MCM5	14348	-4.448392868041992	-0.18104073	Yes	
row_36	ATRX	14375	-4.529622554779053	-0.13740158	Yes	
row_37	MCM4	14455	-4.846967697143555	-0.09420303	Yes	
row_38	E2F8	14501	-5.022458076477051	-0.046921093	Yes	
row_39	GMNN	14598	-5.824946403503418	0.0049212305	Yes	
