NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LCMT1	1486	2.4237093925476074	-0.08569655	No	
row_1	CDC16	3073	1.2753393650054932	-0.18580297	No	
row_2	MAD2L1BP	3383	1.130584478378296	-0.19949333	No	
row_3	IK	3700	0.9710507392883301	-0.214714	No	
row_4	MAD2L2	6117	0.17951294779777527	-0.37882927	No	
row_5	ANAPC11	6344	0.13178838789463043	-0.39342326	No	
row_6	CDK5RAP2	6870	0.026054957881569862	-0.42917112	No	
row_7	NSMCE2	7070	-0.007434647064656019	-0.4427373	No	
row_8	USP44	7436	-0.06443138420581818	-0.46728534	No	
row_9	DYNC1LI1	9225	-0.485640287399292	-0.58641654	No	
row_10	ZW10	9608	-0.5987933278083801	-0.6086061	No	
row_11	DUSP1	10074	-0.7591638565063477	-0.63541746	No	
row_12	PCID2	10114	-0.771877646446228	-0.6329989	No	
row_13	KLHL22	10198	-0.8025369644165039	-0.6333887	No	
row_14	ANAPC5	10527	-0.9390822052955627	-0.64964104	No	
row_15	ANAPC7	10604	-0.9700378179550171	-0.64844805	No	
row_16	ATM	11015	-1.1491589546203613	-0.66892624	No	
row_17	APC	11080	-1.1788578033447266	-0.66553605	No	
row_18	CDC23	11157	-1.2126121520996094	-0.6627444	No	
row_19	ZNF207	11525	-1.3972949981689453	-0.6786453	No	
row_20	TPR	11669	-1.4694607257843018	-0.67874503	No	
row_21	MAD1L1	12452	-1.9690155982971191	-0.7192717	No	
row_22	ANAPC15	12618	-2.0840084552764893	-0.71682656	No	
row_23	RB1	12646	-2.100318193435669	-0.70483226	No	
row_24	PRPF4B	13136	-2.4931020736694336	-0.72185856	Yes	
row_25	CUL3	13144	-2.5047643184661865	-0.70583045	Yes	
row_26	BUB3	13396	-2.7269675731658936	-0.705032	Yes	
row_27	FBXO5	13475	-2.81908917427063	-0.6917901	Yes	
row_28	ESPL1	13650	-3.034376621246338	-0.6836976	Yes	
row_29	SPC25	13663	-3.0490739345550537	-0.6644244	Yes	
row_30	XRCC3	13850	-3.335101842880249	-0.65517104	Yes	
row_31	HASPIN	13987	-3.591972589492798	-0.6408039	Yes	
row_32	NUF2	14032	-3.6863019466400146	-0.61952066	Yes	
row_33	CENPF	14040	-3.6996984481811523	-0.59561765	Yes	
row_34	KNTC1	14053	-3.717740535736084	-0.5719378	Yes	
row_35	SPC24	14082	-3.772278308868408	-0.54899323	Yes	
row_36	AURKB	14117	-3.8404736518859863	-0.52600974	Yes	
row_37	INCENP	14142	-3.902808666229248	-0.5019313	Yes	
row_38	BUB1	14227	-4.114140510559082	-0.48056522	Yes	
row_39	ZWINT	14242	-4.147773265838623	-0.4541882	Yes	
row_40	TTK	14244	-4.148066520690918	-0.4269198	Yes	
row_41	BUB1B	14259	-4.18538761138916	-0.4002949	Yes	
row_42	KNL1	14262	-4.192275524139404	-0.37280357	Yes	
row_43	MAD2L1	14319	-4.364737510681152	-0.34787026	Yes	
row_44	DLGAP5	14380	-4.538161754608154	-0.32206774	Yes	
row_45	CDCA8	14398	-4.60060977935791	-0.29291168	Yes	
row_46	CCNB1	14425	-4.713579177856445	-0.26362687	Yes	
row_47	UBE2C	14444	-4.819329261779785	-0.23309779	Yes	
row_48	BIRC5	14475	-4.920009613037109	-0.20272623	Yes	
row_49	NDC80	14480	-4.943078517913818	-0.17042378	Yes	
row_50	GEN1	14514	-5.137742519378662	-0.13882256	Yes	
row_51	ZWILCH	14516	-5.159346103668213	-0.10488958	Yes	
row_52	CDC20	14561	-5.399912357330322	-0.0723132	Yes	
row_53	TRIP13	14581	-5.6104512214660645	-0.036638852	Yes	
row_54	PLK1	14635	-6.4731526374816895	0.0023946976	Yes	
