NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS27	438	3.8919456005096436	-0.0158417	No	
row_1	CLIP1	449	3.8674981594085693	-0.0023952932	No	
row_2	PPP2R5A	617	3.528843402862549	-9.6272014E-4	No	
row_3	PPP2R5B	1024	2.9047722816467285	-0.01821535	No	
row_4	MIS12	1684	2.22322416305542	-0.055324167	No	
row_5	NDEL1	2486	1.6219176054000854	-0.10437703	No	
row_6	PPP2CB	2601	1.5560847520828247	-0.10651554	No	
row_7	CENPT	4511	0.6364036202430725	-0.23522161	No	
row_8	DYNC1LI2	4576	0.6165409088134766	-0.2373615	No	
row_9	DYNLL2	5199	0.4039532542228699	-0.27857876	No	
row_10	PPP2R5C	5887	0.22572794556617737	-0.3249088	No	
row_11	DYNC1H1	6290	0.14277496933937073	-0.35197988	No	
row_12	PMF1	6400	0.1174028292298317	-0.3590325	No	
row_13	B9D2	6610	0.07134231179952621	-0.37311733	No	
row_14	SEC13	6743	0.04567389562726021	-0.38201076	No	
row_15	CLASP1	7110	-0.01384170725941658	-0.40708202	No	
row_16	DYNC1I2	7818	-0.1385660320520401	-0.45510337	No	
row_17	PPP2R5D	8503	-0.2889098823070526	-0.5009966	No	
row_18	CENPS	8658	-0.32636046409606934	-0.51037437	No	
row_19	RCC2	8817	-0.3742540180683136	-0.51985174	No	
row_20	NUP160	9219	-0.48338833451271057	-0.5456095	No	
row_21	DYNC1LI1	9225	-0.485640287399292	-0.54417807	No	
row_22	ZW10	9608	-0.5987933278083801	-0.56820995	No	
row_23	NUP133	9742	-0.638091504573822	-0.5750072	No	
row_24	CENPC	9776	-0.6510955691337585	-0.574893	No	
row_25	NSL1	10056	-0.7522563338279724	-0.59129435	No	
row_26	CENPQ	10505	-0.9283280968666077	-0.6186522	No	
row_27	KIF2A	10683	-0.9999837875366211	-0.6271471	No	
row_28	PAFAH1B1	10972	-1.1262176036834717	-0.6427996	No	
row_29	PPP2CA	10979	-1.1322259902954102	-0.639074	No	
row_30	NUP37	11160	-1.2127366065979004	-0.6469974	No	
row_31	STAG2	11365	-1.3159948587417603	-0.65619075	No	
row_32	PPP2R5E	11506	-1.3869878053665161	-0.6607318	No	
row_33	NUP43	11566	-1.4238897562026978	-0.65957826	No	
row_34	PDS5A	11618	-1.44523024559021	-0.6577976	No	
row_35	NUDC	11746	-1.5028775930404663	-0.66102284	No	
row_36	CENPH	12009	-1.6705902814865112	-0.6729015	No	
row_37	DSN1	12018	-1.6740033626556396	-0.66733336	No	
row_38	CKAP5	12102	-1.7267714738845825	-0.66672033	No	
row_39	WAPL	12324	-1.87734055519104	-0.6750293	No	
row_40	MAD1L1	12452	-1.9690155982971191	-0.67655116	No	
row_41	ITGB3BP	12608	-2.07639217376709	-0.6796025	Yes	
row_42	SMC3	12710	-2.1576645374298096	-0.67865044	Yes	
row_43	NDE1	12749	-2.1927342414855957	-0.6732459	Yes	
row_44	PPP2R1B	12868	-2.2785732746124268	-0.6730188	Yes	
row_45	CENPP	12908	-2.303586959838867	-0.6672779	Yes	
row_46	PPP2R1A	12937	-2.339176654815674	-0.6606518	Yes	
row_47	RANBP2	12976	-2.3679447174072266	-0.65460706	Yes	
row_48	STAG1	13024	-2.404641628265381	-0.6490459	Yes	
row_49	RAD21	13067	-2.444645881652832	-0.6429954	Yes	
row_50	NUP85	13128	-2.4879255294799805	-0.63802224	Yes	
row_51	MAPRE1	13213	-2.5614302158355713	-0.6344278	Yes	
row_52	PDS5B	13218	-2.566504955291748	-0.6253237	Yes	
row_53	TAOK1	13393	-2.7209362983703613	-0.6273239	Yes	
row_54	BUB3	13396	-2.7269675731658936	-0.6174962	Yes	
row_55	PPP1CC	13401	-2.736337184906006	-0.60777146	Yes	
row_56	CENPL	13565	-2.9106953144073486	-0.6083232	Yes	
row_57	CLASP2	13578	-2.9258313179016113	-0.59845513	Yes	
row_58	SPC25	13663	-3.0490739345550537	-0.59307873	Yes	
row_59	SMC1A	13679	-3.0732502937316895	-0.58287793	Yes	
row_60	NUP107	13701	-3.108997344970703	-0.5729583	Yes	
row_61	CENPU	13799	-3.257465124130249	-0.56771266	Yes	
row_62	CENPM	13824	-3.2954530715942383	-0.5573176	Yes	
row_63	SGO1	13874	-3.3820817470550537	-0.54832196	Yes	
row_64	XPO1	13930	-3.492774486541748	-0.53933364	Yes	
row_65	AHCTF1	14001	-3.6170849800109863	-0.5309206	Yes	
row_66	CENPO	14019	-3.655106782913208	-0.5187308	Yes	
row_67	DYNLL1	14021	-3.659337282180786	-0.50542736	Yes	
row_68	NUF2	14032	-3.6863019466400146	-0.49264306	Yes	
row_69	CENPF	14040	-3.6996984481811523	-0.47960392	Yes	
row_70	KNTC1	14053	-3.717740535736084	-0.46684206	Yes	
row_71	RANGAP1	14055	-3.7211098670959473	-0.4533128	Yes	
row_72	SPC24	14082	-3.772278308868408	-0.4413126	Yes	
row_73	CENPA	14111	-3.818904161453247	-0.42927927	Yes	
row_74	AURKB	14117	-3.8404736518859863	-0.4155884	Yes	
row_75	INCENP	14142	-3.902808666229248	-0.40297392	Yes	
row_76	CDCA5	14154	-3.926619052886963	-0.38938013	Yes	
row_77	CCNB2	14181	-3.9911649227142334	-0.37658003	Yes	
row_78	SKA1	14195	-4.037662506103516	-0.36271772	Yes	
row_79	CENPK	14210	-4.059407711029053	-0.34884456	Yes	
row_80	SGO2	14222	-4.097604751586914	-0.33462593	Yes	
row_81	BUB1	14227	-4.114140510559082	-0.3198664	Yes	
row_82	KIF2C	14230	-4.118091583251953	-0.30495515	Yes	
row_83	ZWINT	14242	-4.147773265838623	-0.29055318	Yes	
row_84	BUB1B	14259	-4.18538761138916	-0.27635697	Yes	
row_85	KNL1	14262	-4.192275524139404	-0.26117465	Yes	
row_86	SPDL1	14274	-4.2303032875061035	-0.24647109	Yes	
row_87	CENPI	14280	-4.256800174713135	-0.23125888	Yes	
row_88	ERCC6L	14294	-4.30037784576416	-0.21643654	Yes	
row_89	CENPN	14305	-4.335566520690918	-0.2012797	Yes	
row_90	MAD2L1	14319	-4.364737510681152	-0.18622217	Yes	
row_91	SKA2	14357	-4.470288276672363	-0.17242627	Yes	
row_92	CDCA8	14398	-4.60060977935791	-0.15836006	Yes	
row_93	CCNB1	14425	-4.713579177856445	-0.14292008	Yes	
row_94	CDK1	14443	-4.817045211791992	-0.12648426	Yes	
row_95	KIF18A	14460	-4.878007888793945	-0.10975704	Yes	
row_96	BIRC5	14475	-4.920009613037109	-0.09273905	Yes	
row_97	NDC80	14480	-4.943078517913818	-0.074950375	Yes	
row_98	ZWILCH	14516	-5.159346103668213	-0.05849921	Yes	
row_99	CDC20	14561	-5.399912357330322	-0.0417867	Yes	
row_100	PLK1	14635	-6.4731526374816895	-0.023142839	Yes	
row_101	CENPE	14655	-6.971699237823486	0.001029338	Yes	
