NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAPK13	1286	2.6252903938293457	-0.07465774	No	
row_1	CDKN1A	1303	2.5986573696136475	-0.062483042	No	
row_2	PRMT2	4722	0.5648013353347778	-0.2936603	No	
row_3	MYC	5159	0.41532614827156067	-0.32139626	No	
row_4	CDK4	6235	0.15598396956920624	-0.39421475	No	
row_5	CDKN1B	6676	0.05728136748075485	-0.424053	No	
row_6	FAF1	6698	0.053406037390232086	-0.42521834	No	
row_7	HDAC1	7445	-0.06637011468410492	-0.4759648	No	
row_8	CCND3	8980	-0.41518303751945496	-0.5788915	No	
row_9	SAP30	9042	-0.4338145852088928	-0.58085346	No	
row_10	MDM2	9107	-0.45719948410987854	-0.58290136	No	
row_11	RAF1	9197	-0.4772460460662842	-0.5865589	No	
row_12	RBBP4	10084	-0.7612331509590149	-0.64334404	No	
row_13	CCDC6	10165	-0.7923640012741089	-0.64477605	No	
row_14	RBBP7	10356	-0.8622064590454102	-0.6533841	No	
row_15	NPAT	10881	-1.0846171379089355	-0.6837284	No	
row_16	POLD3	11204	-1.2339140176773071	-0.69947755	No	
row_17	PRIM1	11702	-1.4814846515655518	-0.72594625	Yes	
row_18	TFDP2	11706	-1.4831229448318481	-0.718578	Yes	
row_19	SIN3A	11820	-1.552032470703125	-0.71839046	Yes	
row_20	E2F3	11936	-1.6287001371383667	-0.7179484	Yes	
row_21	RFC4	11941	-1.6294254064559937	-0.70990145	Yes	
row_22	SUV39H1	12223	-1.8077243566513062	-0.7199127	Yes	
row_23	RBP1	12409	-1.9419825077056885	-0.72266436	Yes	
row_24	HMGB2	12495	-1.997405767440796	-0.7182851	Yes	
row_25	RB1	12646	-2.100318193435669	-0.71783143	Yes	
row_26	RPA1	12657	-2.1092865467071533	-0.7077449	Yes	
row_27	HLTF	12694	-2.140300989151001	-0.69928044	Yes	
row_28	SMC3	12710	-2.1576645374298096	-0.6892893	Yes	
row_29	RPA3	12786	-2.218459367752075	-0.68309635	Yes	
row_30	CCNE1	13126	-2.4870693683624268	-0.69361025	Yes	
row_31	POLE2	13442	-2.7788889408111572	-0.70099044	Yes	
row_32	POLA1	13507	-2.8533551692962646	-0.6908021	Yes	
row_33	SMC1A	13679	-3.0732502937316895	-0.6868181	Yes	
row_34	POLE	13807	-3.27423357963562	-0.6787947	Yes	
row_35	MSH6	13825	-3.2956666946411133	-0.6631291	Yes	
row_36	CDT1	13848	-3.3300797939300537	-0.6476302	Yes	
row_37	E2F2	13856	-3.349407196044922	-0.6310054	Yes	
row_38	WEE1	13912	-3.4532673358917236	-0.6171372	Yes	
row_39	CCNE2	13920	-3.4680755138397217	-0.59990644	Yes	
row_40	PCNA	13974	-3.573845386505127	-0.58528554	Yes	
row_41	H2AZ1	14057	-3.7277517318725586	-0.5718646	Yes	
row_42	PRKDC	14064	-3.7394206523895264	-0.5531797	Yes	
row_43	BARD1	14085	-3.7750301361083984	-0.53527164	Yes	
row_44	MCM7	14123	-3.8484561443328857	-0.5181528	Yes	
row_45	HMGB1	14138	-3.895864963531494	-0.49921677	Yes	
row_46	CDK2	14144	-3.91194224357605	-0.47958234	Yes	
row_47	CHEK1	14174	-3.975320816040039	-0.46126777	Yes	
row_48	CCNB2	14181	-3.9911649227142334	-0.4412973	Yes	
row_49	FANCG	14189	-4.009829521179199	-0.42129996	Yes	
row_50	RRM1	14191	-4.014010906219482	-0.4008704	Yes	
row_51	CDC25A	14200	-4.043198585510254	-0.38077116	Yes	
row_52	TTK	14244	-4.148066520690918	-0.36253318	Yes	
row_53	DHFR	14275	-4.2362518310546875	-0.3429546	Yes	
row_54	TFDP1	14306	-4.336025238037109	-0.32286656	Yes	
row_55	RFC3	14320	-4.36696720123291	-0.30145633	Yes	
row_56	TOP2A	14336	-4.396031379699707	-0.28003466	Yes	
row_57	MCM6	14344	-4.434074401855469	-0.25787088	Yes	
row_58	PLK4	14362	-4.487520217895508	-0.23611896	Yes	
row_59	SKP2	14385	-4.547414302825928	-0.21440358	Yes	
row_60	CDC45	14409	-4.639372825622559	-0.19228709	Yes	
row_61	CCNB1	14425	-4.713579177856445	-0.16924381	Yes	
row_62	SMC2	14488	-4.976254463195801	-0.14807768	Yes	
row_63	CCNA2	14495	-4.9895219802856445	-0.12300896	Yes	
row_64	TYMS	14594	-5.785717010498047	-0.10017445	Yes	
row_65	CDK6	14648	-6.820330619812012	-0.068975	Yes	
row_66	RRM2	14649	-6.879329204559326	-0.03384488	Yes	
row_67	CCND1	14650	-6.895885467529297	0.0013697892	Yes	
