NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SARS1	15	7.848370552062988	0.050794117	Yes	
row_1	RPL12	283	4.5034918785095215	0.062220424	Yes	
row_2	RPS27	438	3.8919456005096436	0.07735797	Yes	
row_3	RPL10	643	3.4771430492401123	0.086327694	Yes	
row_4	RPL36AL	679	3.403702735900879	0.10640212	Yes	
row_5	RPL31	862	3.1007204055786133	0.11439503	Yes	
row_6	RPS18	904	3.0614845752716064	0.13179833	Yes	
row_7	RPL37A	1007	2.9234232902526855	0.14410676	Yes	
row_8	RPS4X	1132	2.7798240184783936	0.1539583	Yes	
row_9	RPL18	1136	2.776134967803955	0.1720834	Yes	
row_10	RPS12	1153	2.759770631790161	0.18920891	Yes	
row_11	SEPHS2	1190	2.708294153213501	0.20462297	Yes	
row_12	RPL28	1214	2.6881721019744873	0.22079568	Yes	
row_13	RPL41	1232	2.6747870445251465	0.23729147	Yes	
row_14	RPL14	1261	2.6477246284484863	0.25285423	Yes	
row_15	RPS8	1289	2.614971160888672	0.26826927	Yes	
row_16	RPS29	1297	2.6059622764587402	0.2849964	Yes	
row_17	RPS24	1329	2.5734517574310303	0.29986298	Yes	
row_18	RPL13A	1338	2.5647242069244385	0.31624925	Yes	
row_19	RPS3A	1343	2.55643892288208	0.3328551	Yes	
row_20	RPL26	1355	2.5480008125305176	0.34892517	Yes	
row_21	RPL13	1392	2.514160633087158	0.3630574	Yes	
row_22	RPL36	1396	2.507338285446167	0.3794076	Yes	
row_23	RPL19	1521	2.3833351135253906	0.38664114	Yes	
row_24	RPL24	1553	2.3535842895507812	0.40005594	Yes	
row_25	RPL29	1556	2.350979804992676	0.4154423	Yes	
row_26	RPL37	1607	2.297940969467163	0.42718673	Yes	
row_27	RPL32	1646	2.2702717781066895	0.43957138	Yes	
row_28	RPL30	1696	2.203895092010498	0.45076337	Yes	
row_29	RPLP0	1697	2.2038843631744385	0.46531564	Yes	
row_30	RPS13	1712	2.189042806625366	0.47880977	Yes	
row_31	RPL23A	1878	2.0451388359069824	0.48099852	Yes	
row_32	UBA52	1914	2.0126311779022217	0.4918877	Yes	
row_33	RPS25	1940	1.993129014968872	0.50333387	Yes	
row_34	SECISBP2	1950	1.98704195022583	0.51583713	Yes	
row_35	RPS20	1980	1.9581778049468994	0.5267782	Yes	
row_36	RPS6	2107	1.8630788326263428	0.5304393	Yes	
row_37	RPS15A	2156	1.820749282836914	0.53917	Yes	
row_38	RPL27A	2218	1.7797462940216064	0.54673845	Yes	
row_39	RPS23	2295	1.732102870941162	0.5529636	Yes	
row_40	RPL27	2418	1.6618049144744873	0.55557	Yes	
row_41	RPL35A	2426	1.6557366847991943	0.5660228	Yes	
row_42	RPL34	2449	1.643592119216919	0.57536674	Yes	
row_43	RPS28	2471	1.6342782974243164	0.58471775	Yes	
row_44	RPS11	2577	1.5678331851959229	0.58786947	Yes	
row_45	RPLP2	2587	1.5620769262313843	0.59756666	Yes	
row_46	RPL18A	2600	1.5565602779388428	0.6070217	Yes	
row_47	RPL11	2746	1.451889991760254	0.6066648	Yes	
row_48	RPL7	2795	1.4316664934158325	0.61282635	Yes	
row_49	RPS19	2796	1.4311678409576416	0.6222763	Yes	
row_50	RPL38	2981	1.3235340118408203	0.6183973	Yes	
row_51	RPL10A	3029	1.2980941534042358	0.6237455	Yes	
row_52	FAU	3062	1.280510663986206	0.6300062	Yes	
row_53	SEPSECS	3217	1.2121264934539795	0.6274489	Yes	
row_54	RPL8	3338	1.1466424465179443	0.6267909	Yes	
row_55	RPS4Y1	3393	1.125063419342041	0.63051647	Yes	
row_56	RPL3	3423	1.1088474988937378	0.6358494	Yes	
row_57	RPL21	3471	1.0838745832443237	0.6397831	Yes	
row_58	RPL39	3680	0.9820305705070496	0.6320033	Yes	
row_59	RPL4	3689	0.9779179692268372	0.63791186	Yes	
row_60	RPS5	3773	0.9335309863090515	0.63838404	Yes	
row_61	RPS14	3802	0.9170337319374084	0.642519	Yes	
row_62	RPS15	4032	0.8169402480125427	0.632209	No	
row_63	RPS2	4056	0.8062624335289001	0.63595545	No	
row_64	RPS27A	4157	0.7663373947143555	0.6341578	No	
row_65	RPS9	4194	0.7507279515266418	0.63664603	No	
row_66	RPS3	4237	0.7327690124511719	0.6386043	No	
row_67	RPS21	4310	0.7084954380989075	0.6383449	No	
row_68	RPLP1	4354	0.6906866431236267	0.63995665	No	
row_69	RPS7	4735	0.5612602233886719	0.6176031	No	
row_70	RPL7A	4860	0.5120765566825867	0.6124807	No	
row_71	RPS16	4932	0.49097907543182373	0.6108536	No	
row_72	PSTK	5036	0.4562544822692871	0.60680276	No	
row_73	RPL17	5111	0.43171927332878113	0.6045787	No	
row_74	RPL36A	5643	0.2884390652179718	0.5700685	No	
row_75	RPL23	5921	0.21842336654663086	0.5525147	No	
row_76	RPL35	5974	0.20729567110538483	0.5503174	No	
row_77	RPL15	6114	0.18006597459316254	0.5419741	No	
row_78	RPL6	6204	0.1626666933298111	0.5369448	No	
row_79	RPSA	6225	0.15899424254894257	0.53662306	No	
row_80	RPL5	6379	0.12221367657184601	0.52693766	No	
row_81	RPS27L	7685	-0.10748543590307236	0.43815348	No	
row_82	EEFSEC	8050	-0.19331271946430206	0.41446763	No	
row_83	RPL22	9351	-0.5241656303405762	0.3287777	No	
row_84	RPL22L1	9593	-0.5955360531806946	0.3161828	No	
row_85	RPS10	10269	-0.822978675365448	0.275327	No	
row_86	RPS26	11034	-1.1596465110778809	0.23059076	No	
row_87	RPL39L	11166	-1.2149288654327393	0.22962926	No	
row_88	RPL26L1	11902	-1.6050914525985718	0.18982308	No	
