NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHMP1B	488	3.791710376739502	-0.022208296	No	
row_1	CHMP4C	578	3.6101508140563965	-0.017520506	No	
row_2	MISP	682	3.3995158672332764	-0.014426131	No	
row_3	CHMP2A	764	3.263272285461426	-0.01022669	No	
row_4	KIF3B	802	3.199963331222534	-0.0031908639	No	
row_5	BOD1	953	2.993666410446167	-0.004543799	No	
row_6	CHMP5	1177	2.7352237701416016	-0.011690772	No	
row_7	ABRAXAS1	1386	2.5187721252441406	-0.018454213	No	
row_8	KIFC2	1484	2.427767276763916	-0.017856525	No	
row_9	MIS12	1684	2.22322416305542	-0.024885867	No	
row_10	OFD1	2071	1.8930983543395996	-0.045763757	No	
row_11	CHMP7	2507	1.6126998662948608	-0.070850916	No	
row_12	AKAP8L	2566	1.574450135231018	-0.0701259	No	
row_13	BECN1	2759	1.4456658363342285	-0.07900177	No	
row_14	CHMP1A	3358	1.1416529417037964	-0.116708875	No	
row_15	CHMP4B	3436	1.097801685333252	-0.118717544	No	
row_16	DCTN2	3676	0.9834949970245361	-0.13220935	No	
row_17	AURKC	3713	0.9667951464653015	-0.13179062	No	
row_18	VPS4B	4423	0.6667286157608032	-0.1785532	No	
row_19	GOLGA2	4677	0.5820404291152954	-0.1942097	No	
row_20	WRAP73	4716	0.5679590106010437	-0.1951226	No	
row_21	TUBG2	4961	0.4828641414642334	-0.21045709	No	
row_22	ABRAXAS2	5284	0.38026437163352966	-0.2314629	No	
row_23	MAP10	5619	0.29520294070243835	-0.25354862	No	
row_24	PDCD6IP	5735	0.267487496137619	-0.26065648	No	
row_25	CHMP4A	5843	0.2368091344833374	-0.267306	No	
row_26	VPS4A	5995	0.2031567096710205	-0.2770822	No	
row_27	KMT5A	6063	0.19070293009281158	-0.2811189	No	
row_28	PHF13	6253	0.15199685096740723	-0.29366156	No	
row_29	CHMP2B	6330	0.13496741652488708	-0.2984841	No	
row_30	EML3	6558	0.08137911558151245	-0.31385148	No	
row_31	CLASP1	7110	-0.01384170725941658	-0.3517029	No	
row_32	RHOA	7291	-0.041897453367710114	-0.36395627	No	
row_33	CHMP6	7327	-0.04774827882647514	-0.3662203	No	
row_34	CHMP3	7674	-0.10558244585990906	-0.38969898	No	
row_35	SPICE1	7967	-0.17033423483371735	-0.40927017	No	
row_36	CCDC61	8178	-0.21918506920337677	-0.4230559	No	
row_37	INO80	8319	-0.25190237164497375	-0.43192965	No	
row_38	RMDN1	8375	-0.2630312740802765	-0.43492457	No	
row_39	PIBF1	8497	-0.28742554783821106	-0.44238535	No	
row_40	PINX1	8680	-0.3310525417327881	-0.45391056	No	
row_41	DIS3L2	8853	-0.38202136754989624	-0.46459544	No	
row_42	TTN	9141	-0.4651281237602234	-0.4829402	No	
row_43	ZW10	9608	-0.5987933278083801	-0.5131948	No	
row_44	CENPC	9776	-0.6510955691337585	-0.52273023	No	
row_45	KLHL22	10198	-0.8025369644165039	-0.54928017	No	
row_46	NCAPH2	10412	-0.8871610164642334	-0.5612723	No	
row_47	CHAMP1	10553	-0.9511122107505798	-0.5680527	No	
row_48	LSM14A	10589	-0.9641602039337158	-0.56757313	No	
row_49	MAP9	10669	-0.9962561726570129	-0.57002336	No	
row_50	KIF2A	10683	-0.9999837875366211	-0.56792355	No	
row_51	AAAS	10763	-1.0310819149017334	-0.57026947	No	
row_52	RANGRF	10785	-1.0410189628601074	-0.56859696	No	
row_53	RAB11A	10838	-1.0640462636947632	-0.5689874	No	
row_54	CDC23	11157	-1.2126121520996094	-0.5872262	No	
row_55	STAG2	11365	-1.3159948587417603	-0.59752184	No	
row_56	NUP62	11402	-1.3373687267303467	-0.5959937	No	
row_57	ZNF207	11525	-1.3972949981689453	-0.60020036	No	
row_58	TENT4A	11567	-1.424216628074646	-0.598756	No	
row_59	LATS1	11688	-1.4770009517669678	-0.60258657	No	
row_60	NUDC	11746	-1.5028775930404663	-0.6020071	No	
row_61	CHEK2	11881	-1.5893770456314087	-0.60646397	No	
row_62	EML4	12060	-1.6994612216949463	-0.6136172	No	
row_63	WAPL	12324	-1.87734055519104	-0.62608343	No	
row_64	MAD1L1	12452	-1.9690155982971191	-0.62892234	No	
row_65	CEP192	12541	-2.0277884006500244	-0.6289032	No	
row_66	BCCIP	12575	-2.0519680976867676	-0.62502927	No	
row_67	RB1	12646	-2.100318193435669	-0.6235551	No	
row_68	SMC3	12710	-2.1576645374298096	-0.6214279	No	
row_69	KPNB1	12737	-2.1796443462371826	-0.6166903	No	
row_70	STAG1	13024	-2.404641628265381	-0.62915957	No	
row_71	CUL3	13144	-2.5047643184661865	-0.6298443	No	
row_72	MAPRE1	13213	-2.5614302158355713	-0.6268521	No	
row_73	RAN	13416	-2.7494282722473145	-0.63251233	Yes	
row_74	NCAPD2	13424	-2.757023572921753	-0.6247395	Yes	
row_75	RRS1	13452	-2.792339324951172	-0.61823636	Yes	
row_76	SEH1L	13550	-2.8976032733917236	-0.61623204	Yes	
row_77	CLASP2	13578	-2.9258313179016113	-0.6093292	Yes	
row_78	ESPL1	13650	-3.034376621246338	-0.60512733	Yes	
row_79	SMC1A	13679	-3.0732502937316895	-0.59785193	Yes	
row_80	FLNA	13683	-3.0811264514923096	-0.5888337	Yes	
row_81	KIF18B	13756	-3.195539712905884	-0.5842181	Yes	
row_82	CDT1	13848	-3.3300797939300537	-0.5805064	Yes	
row_83	TUBG1	13867	-3.3655083179473877	-0.57166827	Yes	
row_84	MZT1	13880	-3.3938071727752686	-0.5623328	Yes	
row_85	ARHGEF10	13913	-3.4533333778381348	-0.55419457	Yes	
row_86	KNSTRN	13914	-3.4543163776397705	-0.5438527	Yes	
