NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	Details ...	158	-0.7298554	-2.9864721	0.0	0.0	0.0	2015	tags=67%, list=14%, signal=77%	
HALLMARK_G2M_CHECKPOINT%MSIGDBHALLMARK%HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT%MSIGDBHALLMARK%HALLMARK_G2M_CHECKPOINT	Details ...	138	-0.7248319	-2.8917189	0.0	0.0	0.0	1849	tags=65%, list=13%, signal=74%	
MITOTIC PROMETAPHASE%REACTOME%R-HSA-68877.7	MITOTIC PROMETAPHASE%REACTOME%R-HSA-68877.7	Details ...	180	-0.6395083	-2.6599493	0.0	0.0	0.0	2663	tags=54%, list=18%, signal=65%	
RETINOBLASTOMA GENE IN CANCER%WIKIPATHWAYS_20240210%WP2446%HOMO SAPIENS	RETINOBLASTOMA GENE IN CANCER%WIKIPATHWAYS_20240210%WP2446%HOMO SAPIENS	Details ...	68	-0.7335116	-2.6402938	0.0	0.0	0.0	2970	tags=75%, list=20%, signal=94%	
RESOLUTION OF SISTER CHROMATID COHESION%REACTOME%R-HSA-2500257.4	RESOLUTION OF SISTER CHROMATID COHESION%REACTOME%R-HSA-2500257.4	Details ...	102	-0.6871902	-2.6374052	0.0	0.0	0.0	2064	tags=60%, list=14%, signal=69%	
REGULATION OF CHROMOSOME SEGREGATION%GOBP%GO:0051983	REGULATION OF CHROMOSOME SEGREGATION%GOBP%GO:0051983	Details ...	118	-0.6653224	-2.6218853	0.0	0.0	0.0	1616	tags=48%, list=11%, signal=54%	
REGULATION OF CHROMOSOME SEPARATION%GOBP%GO:1905818	REGULATION OF CHROMOSOME SEPARATION%GOBP%GO:1905818	Details ...	68	-0.73421925	-2.619441	0.0	0.0	0.0	1536	tags=56%, list=10%, signal=62%	
AURORA B SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AURORA B SIGNALING	AURORA B SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AURORA B SIGNALING	Details ...	38	-0.79329437	-2.5795624	0.0	0.0	0.0	2280	tags=76%, list=16%, signal=90%	
AMPLIFICATION OF SIGNAL FROM UNATTACHED KINETOCHORES VIA A MAD2 INHIBITORY SIGNAL%REACTOME DATABASE ID RELEASE 65%141444	AMPLIFICATION OF SIGNAL FROM UNATTACHED KINETOCHORES VIA A MAD2 INHIBITORY SIGNAL%REACTOME DATABASE ID RELEASE 65%141444	Details ...	90	-0.681513	-2.5793662	0.0	0.0	0.0	1923	tags=57%, list=13%, signal=65%	
AMPLIFICATION OF SIGNAL FROM THE KINETOCHORES%REACTOME%R-HSA-141424.4	AMPLIFICATION OF SIGNAL FROM THE KINETOCHORES%REACTOME%R-HSA-141424.4	Details ...	90	-0.681513	-2.5766091	0.0	0.0	0.0	1923	tags=57%, list=13%, signal=65%	
MITOTIC SPINDLE CHECKPOINT%REACTOME%R-HSA-69618.4	MITOTIC SPINDLE CHECKPOINT%REACTOME%R-HSA-69618.4	Details ...	107	-0.665818	-2.5636954	0.0	0.0	0.0	2064	tags=53%, list=14%, signal=62%	
EML4 AND NUDC IN MITOTIC SPINDLE FORMATION%REACTOME%R-HSA-9648025.3	EML4 AND NUDC IN MITOTIC SPINDLE FORMATION%REACTOME%R-HSA-9648025.3	Details ...	94	-0.67530245	-2.5563068	0.0	0.0	0.0	1923	tags=55%, list=13%, signal=63%	
REGULATION OF DNA-TEMPLATED DNA REPLICATION%GOBP%GO:0090329	REGULATION OF DNA-TEMPLATED DNA REPLICATION%GOBP%GO:0090329	Details ...	40	-0.7734502	-2.5530183	0.0	0.0	0.0	1840	tags=60%, list=13%, signal=68%	
MITOTIC SISTER CHROMATID SEGREGATION%GOBP%GO:0000070	MITOTIC SISTER CHROMATID SEGREGATION%GOBP%GO:0000070	Details ...	126	-0.64122653	-2.551749	0.0	0.0	0.0	1256	tags=44%, list=9%, signal=47%	
REGULATION OF MITOTIC SISTER CHROMATID SEPARATION%GOBP%GO:0010965	REGULATION OF MITOTIC SISTER CHROMATID SEPARATION%GOBP%GO:0010965	Details ...	55	-0.7382887	-2.551303	0.0	0.0	0.0	1536	tags=56%, list=10%, signal=63%	
SISTER CHROMATID SEGREGATION%GOBP%GO:0000819	SISTER CHROMATID SEGREGATION%GOBP%GO:0000819	Details ...	130	-0.64074385	-2.5456054	0.0	0.0	0.0	1256	tags=44%, list=9%, signal=48%	
POSITIVE REGULATION OF CELL CYCLE PROCESS%GOBP%GO:0090068	POSITIVE REGULATION OF CELL CYCLE PROCESS%GOBP%GO:0090068	Details ...	182	-0.60656965	-2.5420015	0.0	0.0	0.0	1822	tags=43%, list=12%, signal=49%	
