NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	80	0.6957981	2.6389718	0.0	0.0	0.0	3317	tags=80%, list=23%, signal=103%	
PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525	PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525	Details ...	78	0.6681333	2.5809438	0.0	0.0	0.0	3802	tags=74%, list=26%, signal=100%	
PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933	PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933	Details ...	78	0.66857994	2.5554972	0.0	0.0	0.0	3802	tags=74%, list=26%, signal=100%	
PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	Details ...	78	0.66860884	2.537956	0.0	0.0	0.0	3802	tags=74%, list=26%, signal=100%	
PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695	PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695	Details ...	78	0.6680432	2.537205	0.0	0.0	0.0	3802	tags=74%, list=26%, signal=100%	
PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	Details ...	78	0.6688181	2.5325046	0.0	0.0	0.0	3802	tags=74%, list=26%, signal=100%	
PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922	PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922	Details ...	78	0.6680432	2.5313256	0.0	0.0	0.0	3802	tags=74%, list=26%, signal=100%	
PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873	PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873	Details ...	78	0.66585654	2.5309312	0.0	0.0	0.0	3802	tags=74%, list=26%, signal=100%	
PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858	PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858	Details ...	78	0.6623944	2.5304968	0.0	0.0	0.0	3802	tags=73%, list=26%, signal=98%	
RESPONSE TO ENDOPLASMIC RETICULUM STRESS%GOBP%GO:0034976	RESPONSE TO ENDOPLASMIC RETICULUM STRESS%GOBP%GO:0034976	Details ...	191	0.58636796	2.5291288	0.0	0.0	0.0	1717	tags=36%, list=12%, signal=40%	
PROTEIN SYNTHESIS: CYSTEINE%PATHWHIZ%PW112918	PROTEIN SYNTHESIS: CYSTEINE%PATHWHIZ%PW112918	Details ...	78	0.66938704	2.5290728	0.0	0.0	0.0	3802	tags=74%, list=26%, signal=100%	
