NAME	TITLE	SCORE	
ASNS		11.553213	
ADM2		10.634939	
CHAC1		10.14191	
SHMT2		9.435267	
PCK2		9.376507	
MTHFD2		9.322992	
CYP1A1		8.874974	
EIF4EBP1		8.514804	
STC2		8.48485	
SLC6A9		8.297008	
SLC3A2		8.261162	
TRIB3		8.246707	
PSAT1		8.098633	
CARS1		8.073634	
FTH1		8.064277	
SARS1		7.8483706	
CTH		7.7951283	
GARS1		7.5776706	
NIBAN1		7.574502	
HERPUD1		7.5711384	
SLC1A5		7.5557375	
CBS		7.5196795	
MKNK2		7.404278	
FLNC		7.3831825	
CAPN5		7.369725	
XPOT		7.3293805	
INHBE		7.3283205	
SNHG32		7.315282	
FMOD		7.2955036	
ALDH1L2		7.2910385	
GDF15		7.222329	
ATF4		7.113688	
CTSD		7.050861	
YARS1		7.006511	
H1-0		7.005064	
CYP1B1		6.9838657	
UNC5B		6.9824224	
WARS1		6.9807053	
SNTB1		6.9803333	
SLC7A11		6.9104466	
NFE2L1		6.9001217	
SESN2		6.8739314	
CNNM4		6.8390512	
IFI27L1		6.755782	
SLC45A4		6.752868	
CLGN		6.692639	
GPT2		6.678271	
AARS1		6.617655	
NEU1		6.6136856	
DDIT3		6.6085176	
MARS1		6.56447	
FTL		6.49526	
SLC7A1		6.4692674	
NQO2		6.4497814	
AKR1C1		6.430451	
DHRS9		6.3929305	
HAX1		6.391419	
TSC22D3		6.356284	
RRAGD		6.337211	
CEBPG		6.3159833	
ERP29		6.3102036	
ATXN1		6.2688475	
RENBP		6.2207427	
TXNRD1		6.202516	
HSPA5		6.1882133	
SLC38A3		6.1786556	
EIF2S2		6.1727076	
FICD		6.1612396	
CRYAB		6.1463866	
VEGFA		6.1260333	
GFPT1		6.095791	
TPP1		6.0722	
CYP27A1		6.0656137	
TPRA1		6.0633483	
DNASE2		6.0031667	
EIF1		6.0001106	
DNAJB9		5.988264	
CBX4		5.916644	
OGT		5.891168	
RAB38		5.881261	
LONP1		5.853688	
SLC1A4		5.8468146	
KLHDC7B		5.845194	
DDIT4		5.8363214	
HSPA9		5.83014	
AKNA		5.8276186	
CES2		5.816663	
PHGDH		5.8109016	
SLC22A18		5.80563	
TTC17		5.7957973	
GTPBP2		5.7808337	
LTK		5.749854	
FNIP2		5.748041	
TARS1		5.742954	
GAS5		5.741792	
PRSS1		5.732724	
KIAA0319		5.73224	
ATP6AP1		5.723825	
SERPINE2		5.718169	
SLFN5		5.714037	
BRI3		5.7043185	
EMC3		5.682651	
SIRT7		5.6806374	
ASS1		5.6797314	
WBP2		5.6664915	
SLC3A1		5.65164	
MAFG		5.6491566	
PSAP		5.6443586	
CASP5		5.6226745	
LINC01564		5.6134906	
GPCPD1		5.603044	
PABPC1L		5.5917687	
ABCG1		5.58653	
EPRS1		5.5784073	
TTC39A		5.57708	
AKR1C2		5.5720415	
ULK1		5.571464	
PHF1		5.542	
CAPN14		5.5377817	
ARHGEF2		5.536555	
CTSA		5.5330763	
PPP1R11		5.5272045	
LARP6		5.5266795	
TMC4		5.515505	
PLEKHM1P1		5.5035424	
HYOU1		5.501933	
SLC7A5		5.4909596	
NTN4		5.485573	
IGFBP1		5.4593287	
GLRX		5.4550567	
GPAT3		5.4484196	
AKR1C3		5.444811	
SLC16A4		5.4330378	
ARG2		5.431705	
GOT1		5.4182653	
GAA		5.416013	
IARS1		5.4118934	
LGMN		5.3952723	
G0S2		5.392926	
LINC00511		5.387833	
ZMYND15		5.3867803	
DNAJC1		5.379937	
OTOP2		5.3427773	
ECI1		5.337393	
MOCOS		5.3238616	
TIMP3		5.3161464	
TCEA1		5.312283	
PPDPF		5.3059196	
ITPKA		5.305117	
ZFAS1		5.299833	
RTN3		5.273908	
MARF1		5.2718663	
MAP1LC3B		5.2656603	
KIF21B		5.2487335	
UNC5B-AS1		5.239687	
ABHD11		5.234076	
RNF185		5.231204	
FLYWCH1		5.2214346	
MYO18A		5.1964364	
FAM20A		5.1921363	
FER1L6		5.1820693	
ERV3-1		5.1818695	
PLCXD1		5.1812778	
TCP11L2		5.169075	
FNDC4		5.1656423	
CTSL		5.159773	
PRSS16		5.1590004	
RNF187		5.15811	
ZDHHC18		5.118191	
OCLN		5.1024146	
ABCC3		5.0886564	
IFRD1		5.0807953	
HSD17B2		5.072199	
DDX24		5.065218	
ZFAND2A		5.0639	
AIFM2		5.060488	
HSPA13		5.0510645	
LHFPL2		5.044405	
OS9		5.0441613	
UGDH		5.041622	
HEXA		5.028835	
DUOXA2		5.0136147	
NHSL1		4.9997177	
HLA-DQB1		4.9752026	
POR		4.965509	
CEBPB		4.9554667	
DMGDH		4.9476533	
EDF1		4.935094	
ERN1		4.934451	
MAP2K2		4.933929	
RBCK1		4.9286966	
PPARA		4.927875	
TPCN1		4.9245143	
SLC51A		4.9113193	
SEC63		4.9095387	
NQO1		4.907367	
SYVN1		4.905761	
PAG1		4.9052706	
TSKU		4.8985295	
NARS1		4.897166	
MKRN1		4.89551	
C1orf43		4.8925424	
DUOX2		4.8918414	
S100A14		4.874246	
MIA3		4.872643	
MAX		4.8682647	
NUCB1		4.865389	
CIDECP1		4.8578005	
EDC3		4.8560877	
ZNF703		4.849804	
EPS8L1		4.8465323	
GCLC		4.8438497	
TXNDC12		4.8396873	
ATG2A		4.8377914	
PHYKPL		4.826837	
AGA		4.8181047	
ZXDC		4.816575	
ABHD3		4.8097053	
CDH17		4.807975	
AHRR		4.803417	
AAK1		4.800655	
CALCOCO1		4.7926126	
UCHL1		4.787784	
LMO7		4.78589	
NPC2		4.779301	
NSUN7		4.77155	
OSGIN1		4.7707953	
MKX		4.7701592	
FADS3		4.763562	
ATP6V1B2		4.756642	
S100P		4.7539935	
APOE		4.753125	
MIA2		4.750932	
H1-2		4.749144	
SIGIRR		4.746074	
ZNF165		4.7377434	
MPST		4.734873	
TMBIM6		4.725627	
NCSTN		4.719408	
LAMP1		4.717136	
IQCD		4.71105	
GCC1		4.7100506	
HS1BP3		4.703541	
GNPTG		4.6995935	
BICDL2		4.6963882	
TOMM7		4.693923	
MGAT2		4.693631	
EEIG1		4.6899805	
EPHX1		4.688546	
SPIRE1		4.6871943	
RNF157		4.6817446	
CLDN7		4.6624727	
ZNF528-AS1		4.6539664	
ARHGAP9		4.649216	
LMAN2		4.632158	
UBALD2		4.6270843	
PIP4K2C		4.6232495	
TIMM44		4.6177397	
SDCBP2		4.614445	
EDEM1		4.5977397	
HSD17B14		4.5950975	
PALM		4.594095	
GLB1		4.5863295	
NUDT16		4.5849366	
ATP6V1E1		4.5790577	
AP5Z1		4.576009	
PTK6		4.5709677	
RNF41		4.5703416	
CALCOCO2		4.5644197	
SQSTM1		4.564373	
GBA1		4.5642114	
ZNF598		4.5640078	
TF		4.5580025	
SERINC2		4.5457597	
TMUB2		4.5442696	
NUDT4		4.542774	
ICA1		4.535907	
TUBAP13		4.5355453	
CLMP		4.5339136	
DUSP5		4.532692	
HM13		4.5232806	
CLSTN2		4.5124497	
DDRGK1		4.506582	
RPL12		4.503492	
CANX		4.4968777	
FAM219B		4.4854817	
NBR2		4.479771	
ZFAND3		4.4664555	
DGKQ		4.4642687	
DISP1		4.460748	
PLEKHM1		4.457281	
FLCN		4.452865	
ABHD14B		4.4379025	
BRPF3		4.4332137	
SLC33A1		4.432946	
HIGD2A		4.4117355	
ABCD1		4.408893	
SPCS2		4.408891	
SERPINI1		4.408094	
AKAP17A		4.4042544	
CEACAM1		4.4006343	
LCN2		4.3921075	
ESRP1		4.3901825	
HKDC1		4.385945	
KCTD5		4.383268	
YPEL3		4.3810873	
POLR1D		4.3805532	
SAT1		4.3754926	
VAT1		4.3567567	
KIF16B		4.352194	
MST1		4.346819	
HID1		4.33414	
DHRS7		4.323552	
GDI1		4.3105497	
IL6R		4.298945	
ECHDC2		4.2979198	
AGAP1		4.294469	
SLC31A1		4.294248	
TLCD2		4.2912235	
MMP1		4.286223	
MYO15B		4.280906	
DDOST		4.2803006	
GLMP		4.278468	
TMEM268		4.2760754	
RHBDD1		4.270807	
ATP6V1F		4.2665443	
RETREG2		4.2642775	
SCARB2		4.263245	
ADCY4		4.260108	
MAP2K6		4.2578797	
TMEM38B		4.253828	
ENPP5		4.246658	
COL6A1		4.245113	
USP54		4.2359314	
IDH1		4.219344	
GCLM		4.2176433	
RPN2		4.214697	
C6orf89		4.213717	
VPS26C		4.2114725	
CLCN7		4.209826	
NHLRC3		4.1952047	
SPART		4.194761	
CD44		4.194292	
AIG1		4.192485	
LZTS3		4.1913924	
PPP1R26		4.1910925	
GPER1		4.1884317	
MIR194-2HG		4.1849585	
EGFL6		4.1800303	
GNPDA1		4.177694	
PIM1		4.1763015	
P2RX4		4.1760783	
RAP1GAP		4.1684103	
PLA1A		4.163919	
STT3A		4.162967	
STMND1		4.1627693	
PLXNA3		4.1623907	
FLOT1		4.1529794	
PKN1		4.146779	
SMPD1		4.1459694	
RAB37		4.1446896	
GPR108		4.1428967	
PAPLN		4.135685	
SRXN1		4.1353583	
LINC02889		4.134234	
PIGT		4.128277	
TMEM125		4.1210456	
KIAA0513		4.1178174	
CTSB		4.117617	
GRN		4.116844	
MYLIP		4.110169	
COL6A2		4.1076565	
BSDC1		4.102492	
ASGR2		4.101066	
IGBP1		4.0994563	
CTNNBL1		4.099195	
CPD		4.0964165	
NEAT1		4.094645	
GSDMB		4.089887	
PDIA3		4.0823545	
APOA1		4.081209	
JUND		4.0806417	
SP1		4.0662217	
SHROOM1		4.0601416	
PIGS		4.053743	
CNPPD1		4.048024	
ZBTB7B		4.0465174	
SMPDL3A		4.044161	
NUB1		4.0432787	
RHOF		4.030623	
ARL14		4.024665	
FAM107B		4.017621	
KHNYN		4.0153947	
TMEM144		4.0136323	
RPS6KA2		4.0129538	
