"","Mock1","Mock2","Mock3","Control1","Control2","Control3","GW-Treated1","GW-Treated2","GW-Treated3"
"A1BG-AS1",5.24559042467061,6.76470821860964,5.36719869181978,5.69737105796753,4.76344803246549,5.84025874082613,5.940879683459,5.49247043189982,5.05521304209462
"A1CF",38.3127300637334,36.7416505206837,27.4323488693011,35.213871719727,29.4608905486181,33.3624780569693,36.7905079192521,30.483210897044,28.9072745787382
"A2M",32.0711414571633,39.7924012859391,41.6786170019092,28.6241413394272,29.2020075033754,16.7907438798751,41.3714271932446,27.7369756810941,42.2217089290438
"A2M-AS1",1.72639684862577,1.72433738905736,0.662617122446887,1.23557444630621,2.27817079813567,1.67907438798751,1.50311413677878,1.30446172757621,1.0680027553721
"A2ML1",1.59359709103917,0.994810032148477,0.927663971425642,2.67707796699679,0.880202353825144,4.59920375840058,0.429461181936795,2.19698817275993,0.356000918457368
"A4GALT",7.56958618243607,7.29527356908883,10.9331825203736,13.9345340333423,7.66293813918361,16.8637471141355,9.80603032089015,13.4565525581546,18.4408475760916
"AAAS",38.5119297001133,38.3996672409312,43.8652535059839,38.7833090090561,46.7542779708297,39.4217465005764,36.0031624190346,37.4861106977163,37.5224968054065
"AACS",56.5062968530973,62.7393526941639,66.9905910793803,59.5821455218773,55.349195072887,62.6367749953603,61.055064698681,54.8560484385994,57.4585482390191
"AADAC",3.38639381845824,2.65282675239594,2.18663650407473,3.08893611576553,2.89949010671812,1.0950485139049,1.93257531871558,3.98204106312737,2.20720569443568
"AADACP1",1.52719721224587,1.06113070095838,0.795140546936264,1.37286049589579,1.13908539906783,1.0950485139049,0.787345500217457,1.09849408637996,1.21040312275505
"AADAT",13.9439745465928,9.88177965267487,13.7161744346506,10.7083118679872,17.034504376969,10.512465733487,8.66080050239203,10.0924144186159,8.47282185928535
"AAGAB",81.8710505521375,83.3650806940423,86.20648763034,74.9581830759102,80.7197335066706,80.1575512178387,84.9617371598293,85.7511946180359,85.4402204297682
"AAK1",12.6159769707268,11.8713997169718,10.2705653979267,11.9438863142934,11.0284177273386,11.7535207159126,23.9066724611483,19.3609582724469,21.6448558422079
"AAMDC",14.5415734557324,10.5449863407739,13.0535573122037,12.9735316862152,11.8568434721152,12.3375465899952,12.2396436851987,13.9371437209458,14.880838391518
"AAMP",132.401358313838,124.550216024989,125.764729840419,118.546503820602,120.898382128336,116.951181285043,150.09668308691,139.646060731053,133.713944972587
"AAR2",37.9143307909736,38.2670259033114,40.9497381672176,45.2357533397663,38.987786613549,43.5099276191547,42.3019264207743,38.3099812625012,41.8657080105864
"AARS1",111.219796978776,118.050790481619,128.481460042451,105.298400035207,119.396860465928,102.204527964457,208.288673239346,227.044996478659,222.927775138004
"AARS2",32.3367409723365,32.0992037039908,36.5102034468235,31.7130774551928,30.0822098572005,30.8073648578579,27.9865536895478,30.757834418639,30.5448788036421
"AARSD1",1.39439745465928,0.994810032148477,2.3191599285641,0.961002347127054,1.03553218097076,1.02204527964457,1.07365295484199,1.4417734883737,1.56640404121242
